I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-1113.0,-1113.0,-1113.0,-1113.0,-1114.0,-1355,-138.0,-364.0,-597.0,-833.0,-1050.0,-1286.0
-1112.0,-1112.0,-1112.0,-1112.0,-1114.0,-1355,-138.0,-364.0,-597.0,-833.0,-1050.0,-1286.0
-1112.0,-1112.0,-1112.0,-1112.0,-1114.0,-1355,-140.0,-364.0,-597.0,-833.0,-1050.0,-1286.0
-886.0,-886.0,-886.0,-886.0,-1114.0,-1355,-141.0,-364.0,-597.0,-832.0,-1050.0,-1287.0
-886.0,-886.0,-886.0,-886.0,-1114.0,-1355,-142.0,-365.0,-597.0,-832.0,-1050.0,-1287.0
-886.0,-886.0,-886.0,-886.0,-1114.0,-1355,-142.0,-365.0,-597.0,-831.0,-1051.0,-1287.0
-886.0,-886.0,-886.0,-886.0,-1114.0,-1355,-143.0,-366.0,-597.0,-831.0,-1051.0,-1288.0
-886.0,-886.0,-886.0,-886.0,-1113.0,-1355,-143.0,-367.0,-597.0,-830.0,-1052.0,-1288.0
-886.0,-886.0,-886.0,-886.0,-1113.0,-1355,-144.0,-368.0,-598.0,-829.0,-1052.0,-1289.0
-886.0,-886.0,-886.0,-886.0,-1112.0,-1355,-145.0,-369.0,-598.0,-827.0,-1052.0,-1289.0
-886.0,-886.0,-886.0,-886.0,-1112.0,-1355,-146.0,-370.0,-598.0,-826.0,-1053.0,-1289.0
-886.0,-886.0,-886.0,-886.0,-1112.0,-1355,-147.0,-371.0,-598.0,-826.0,-1053.0,-1290.0
-886.0,-886.0,-886.0,-886.0,-1111.0,-1355,-148.0,-373.0,-598.0,-822.0,-1053.0,-1290.0
-887.0,-887.0,-887.0,-887.0,-1111.0,-1355,-149.0,-373.0,-598.0,-824.0,-1054.0,-1291.0
-889.0,-889.0,-889.0,-887.0,-1111.0,-1355,-150.0,-374.0,-599.0,-825.0,-1054.0,-1291.0
-887.0,-887.0,-887.0,-887.0,-1109.0,-1355,-150.0,-375.0,-599.0,-825.0,-1055.0,-1292.0
-652.0,-652.0,-652.0,-887.0,-1111.0,-1355,-151.0,-376.0,-600.0,-826.0,-1055.0,-1292.0
-652.0,-652.0,-652.0,-887.0,-1111.0,-1355,-151.0,-377.0,-601.0,-826.0,-1056.0,-1292.0
-652.0,-652.0,-652.0,-889.0,-1111.0,-1355,-151.0,-379.0,-603.0,-827.0,-1056.0,-1293.0
-652.0,-652.0,-652.0,-887.0,-1111.0,-1355,-152.0,-379.0,-604.0,-828.0,-1057.0,-1293.0
-653.0,-653.0,-653.0,-887.0,-1112.0,-1355,-152.0,-380.0,-604.0,-828.0,-1057.0,-1293.0
-653.0,-653.0,-653.0,-887.0,-1112.0,-1355,-152.0,-380.0,-605.0,-829.0,-1057.0,-1294.0
