I,II,III,aVR,aVL,aVF,v1,v2,v3,v4,v5,v6
-0.0004735516483516,-0.0003519509157509,-0.0003284634920634,0.0004121445177045,-7.294273504273476e-05,-0.0003404255921855,-0.0004694793650793,-0.0005292015873015,-0.0005323435897435,-0.0004229045177045,-0.000434486080586,-0.0004254034188034
-0.0004887297924297,-0.0003762224664224,-0.0003406285714285,0.0004303263492063,-7.294273504273476e-05,-0.0003586628083028,-0.0004694793650793,-0.0005656968253968,-0.000553516068376,-0.0004410305250305,-0.0004556074481074,-0.0004435074481074
-0.0005008723076923,-0.000400494017094,-0.0003588761904761,0.0004485081807081,-6.990322344322315e-05,-0.0003799395604395,-0.0004725279609279,-0.0005900269841269,-0.0005686392673992,-0.0004531145299145,-0.0004706941391941,-0.0004525594627594
-0.0005069435653235,-0.0004369013431013,-0.0003862476190476,0.0004697203174603,-6.078468864468836e-05,-0.0004103349206349,-0.0004694793650793,-0.0006052333333333,-0.0005807378266178,-0.0004682195360195,-0.0004827634920634,-0.0004646288156288
-0.000519086080586,-0.0004702747252747,-0.0004075365079365,0.0004939627594627,-5.470566544566516e-05,-0.0004376907448107,-0.0004664307692307,-0.0006295634920634,-0.0005988856654456,-0.0004863455433455,-0.0004978501831501,-0.0004827328449328
-0.0005312285958485,-0.0004945462759462,-0.000413619047619,0.0005121445909645,-5.774517704517676e-05,-0.0004528884249084,-0.0004633821733821,-0.0006508523809523,-0.0006140088644688,-0.0005014505494505,-0.0005129368742368,-0.0004948021978021
-0.0005403354822954,-0.000506682051282,-0.0004166603174603,0.0005212355067155,-6.078468864468836e-05,-0.000462007032967,-0.0004603335775335,-0.0006630174603174,-0.0006230827838827,-0.0005105135531135,-0.0005219888888888,-0.0005038542124542
-0.0005433711111111,-0.0005188178266178,-0.0004288253968253,0.0005303264224664,-5.774517704517676e-05,-0.0004741651770451,-0.0004603335775335,-0.0006751825396825,-0.0006351813431013,-0.0005195765567765,-0.0005340582417582,-0.0005129062271062
-0.0005403354822954,-0.0005309536019536,-0.0004440317460317,0.0005333567277167,-4.862664224664196e-05,-0.0004863233211233,-0.0004603335775335,-0.0006843063492063,-0.0006442552625152,-0.0005256185592185,-0.0005400929181929,-0.0005219582417582
-0.0005433711111111,-0.0005400554334554,-0.000447073015873,0.0005394173382173,-4.862664224664196e-05,-0.0004924023931623,-0.0004603335775335,-0.0006934301587301,-0.0006503045421245,-0.0005286395604395,-0.0005461275946275,-0.0005249755799755
-0.0005464067399267,-0.0005491572649572,-0.0004531555555555,0.0005454779487179,-4.558713064713037e-05,-0.000501521001221,-0.0004633821733821,-0.0006964714285714,-0.0006563538217338,-0.0005316605616605,-0.0005461275946275,-0.0005310102564102
-0.0005464067399267,-0.0005552251526251,-0.0004653206349206,0.0005485082539682,-3.950810744810717e-05,-0.0005106396092796,-0.0004664307692307,-0.0006964714285714,-0.0006593784615384,-0.0005377025641025,-0.0005551796092796,-0.0005340275946275
-0.0005433711111111,-0.000558259096459,-0.0004714031746031,0.0005485082539682,-3.6468595848595565e-05,-0.0005136791452991,-0.0004725279609279,-0.0006995126984126,-0.0006624031013431,-0.0005407235653235,-0.0005551796092796,-0.0005370449328449
-0.0005494423687423,-0.000558259096459,-0.0004622793650793,0.0005515385592185,-4.254761904761877e-05,-0.0005106396092796,-0.0004694793650793,-0.0007025539682539,-0.0006624031013431,-0.0005407235653235,-0.0005491449328449,-0.0005340275946275
-0.0005555136263736,-0.000561293040293,-0.000459238095238,0.0005575991697191,-4.862664224664196e-05,-0.0005106396092796,-0.0004694793650793,-0.0007025539682539,-0.0006684523809523,-0.0005467655677655,-0.0005581969474969,-0.0005400622710622
-0.0005585492551892,-0.000558259096459,-0.0004561968253968,0.0005575991697191,-5.166615384615356e-05,-0.00050760007326,-0.0004725279609279,-0.0007116777777777,-0.0006775263003663,-0.0005558285714285,-0.0005642316239316,-0.0005491142857142
-0.0005555136263736,-0.000558259096459,-0.0004561968253968,0.0005545688644688,-4.862664224664196e-05,-0.00050760007326,-0.0004725279609279,-0.000714719047619,-0.0006805509401709,-0.0005648915750915,-0.0005732836385836,-0.0005581663003663
-0.0005524779975579,-0.0005643269841269,-0.0004622793650793,0.0005575991697191,-4.558713064713037e-05,-0.0005136791452991,-0.0004694793650793,-0.0007055952380952,-0.0006775263003663,-0.0005648915750915,-0.0005763009768009,-0.0005581663003663
