aVR,aVL,aVF,V4,V5,V6,V1,V2,V3,I,II,III
-309,-789,-1224,-347.0,-740.0,-1239.0,-341.0,-767.0,-1194.0,-338.0,-782.0,-1215.0
-309,-789,-1224,-364.0,-718.0,-1240.0,-341.0,-767.0,-1194.0,-338.0,-782.0,-1215.0
-308,-785,-1225,-361.0,-720.0,-1240.0,-341.0,-761.0,-1189.0,-338.0,-785.0,-1219.0
-307,-781,-1228,-359.0,-722.0,-1240.0,-341.0,-767.0,-1192.0,-338.0,-792.0,-1225.0
-305,-776,-1236,-357.0,-724.0,-1240.0,-341.0,-769.0,-1193.0,-338.0,-797.0,-1231.0
-300,-772,-1239,-356.0,-727.0,-1240.0,-341.0,-770.0,-1193.0,-338.0,-803.0,-1236.0
-305,-768,-1246,-356.0,-730.0,-1241.0,-340.0,-771.0,-1194.0,-338.0,-814.0,-1247.0
-307,-766,-1240,-355.0,-732.0,-1242.0,-340.0,-772.0,-1195.0,-337.0,-798.0,-1231.0
-312,-764,-1238,-354.0,-735.0,-1241.0,-340.0,-774.0,-1196.0,-336.0,-771.0,-1200.0
-314,-762,-1235,-354.0,-737.0,-1241.0,-340.0,-775.0,-1196.0,-336.0,-760.0,-1191.0
-316,-761,-1234,-352.0,-738.0,-1240.0,-338.0,-776.0,-1197.0,-337.0,-741.0,-1171.0
-318,-758,-1233,-352.0,-740.0,-1240.0,-340.0,-777.0,-1197.0,-340.0,-728.0,-1150.0
-320,-761,-1232,-350.0,-738.0,-1240.0,-340.0,-778.0,-1198.0,-344.0,-691.0,-1149.0
-320,-761,-1232,-349.0,-735.0,-1240.0,-340.0,-779.0,-1199.0,-349.0,-727.0,-1156.0
-321,-761,-1231,-348.0,-732.0,-1240.0,-340.0,-780.0,-1199.0,-353.0,-740.0,-1173.0
-321,-762,-1231,-346.0,-730.0,-1240.0,-340.0,-781.0,-1199.0,-356.0,-753.0,-1195.0
-322,-762,-1230,-345.0,-728.0,-1240.0,-341.0,-782.0,-1198.0,-361.0,-785.0,-1208.0
-322,-762,-1229,-354.0,-726.0,-1240.0,-342.0,-782.0,-1198.0,-365.0,-797.0,-1217.0
-322,-762,-1228,-354.0,-723.0,-1240.0,-343.0,-783.0,-1197.0,-359.0,-804.0,-1223.0
-323,-762,-1227,-354.0,-730.0,-1239.0,-344.0,-784.0,-1196.0,-355.0,-815.0,-1227.0
-323,-762,-1226,-354.0,-730.0,-1239.0,-345.0,-785.0,-1195.0,-351.0,-803.0,-1223.0
-323,-763,-1226,-354.0,-730.0,-1240.0,-347.0,-786.0,-1195.0,-348.0,-799.0,-1222.0
-324,-763,-1225,-354.0,-730.0,-1240.0,-348.0,-787.0,-1195.0,-344.0,-794.0,-1221.0
-324,-764,-1224,-354.0,-730.0,-1240.0,-350.0,-788.0,-1193.0,-341.0,-791.0,-1221.0
-325,-764,-1223,-354.0,-730.0,-1240.0,-351.0,-789.0,-1195.0,-340.0,-790.0,-1221.0
-325,-765,-1223,-354.0,-730.0,-1240.0,-353.0,-790.0,-1195.0,-340.0,-790.0,-1221.0
