index,II
0,41
1,41
2,39
3,38
4,38
5,40
6,46
7,49
8,52
9,54
10,56
11,56
12,57
13,56
14,55
15,55
16,54
17,53
18,52
19,52
20,51
21,51
22,51
23,51
24,50
25,47
26,46
27,44
28,41
29,39
30,37
31,36
32,36
33,38
34,42
35,44
36,48
37,51
38,53
39,53
40,54
41,54
42,53
43,53
44,52
45,52
46,51
47,52
48,56
49,61
50,69
51,76
52,83
53,83
54,67
55,51
56,41
57,32
58,32
59,34
60,37
61,41
62,43
63,46
64,48
65,51
66,52
67,55
68,56
69,56
70,55
71,55
72,55
73,54
74,53
75,51
76,52
77,51
78,51
79,51
80,51
81,51
82,51
83,50
84,49
85,48
86,47
87,46
88,44
89,43
90,44
91,46
92,49
93,55
94,55
95,58
96,63
97,63
98,63
99,61
100,60
101,58
102,56
103,55
104,54
105,53
106,52
107,53
108,52
109,52
110,52
111,50
112,49
113,47
114,45
115,44
116,41
117,39
118,38
119,40
120,42
121,45
122,47
123,49
124,53
125,56
126,55
127,56
128,56
129,55
130,55
131,55
132,53
133,52
134,52
135,51
136,51
137,51
138,50
139,50
140,49
141,47
142,45
143,44
144,41
145,40
146,38
147,36
148,35
149,35
150,39
151,40
152,43
153,47
154,50
155,52
156,53
157,53
158,53
159,53
160,52
161,51
162,51
163,54
164,61
165,65
166,70
167,81
168,80
169,72
170,58
171,43
172,40
173,35
174,35
175,37
176,39
177,39
178,41
179,42
180,44
181,46
182,49
183,52
184,55
185,56
186,56
187,55
188,55
189,55
190,55
191,53
192,53
193,53
194,53
195,53
196,53
197,52
198,53
199,53
200,52
201,52
202,50
203,49
204,47
205,46
206,45
207,45
208,46
209,49
210,53
211,55
212,58
213,61
214,61
215,60
216,60
217,57
218,56
219,55
220,53
221,52
222,52
223,51
224,52
225,51
226,51
227,51
228,51
229,50
230,49
231,47
232,46
233,44
234,41
235,39
236,38
237,39
238,40
239,44
240,46
241,49
242,52
243,55
244,56
245,56
246,56
247,56
248,55
249,53
250,53
251,52
252,51
253,51
254,50
255,50
256,50
257,49
258,49
259,47
260,46
261,44
262,42
263,39
264,37
265,36
266,36
267,35
268,37
269,40
270,43
271,46
272,49
273,51
274,51
275,53
276,53
277,52
278,51
279,51
280,53
281,57
282,65
283,73
284,83
285,79
286,67
287,55
288,49
289,39
290,34
291,36
292,38
