index,II
0,131
1,131
2,130
3,130
4,130
5,129
6,131
7,129
8,129
9,129
10,130
11,130
12,130
13,131
14,130
15,129
16,129
17,129
18,129
19,129
20,129
21,129
22,129
23,129
24,129
25,130
26,130
27,131
28,131
29,131
30,131
31,131
32,131
33,129
34,132
35,124
36,117
37,107
38,100
39,129
40,130
41,130
42,131
43,131
44,131
45,130
46,130
47,129
48,90
49,100
50,108
51,116
52,124
53,132
54,129
55,129
56,129
57,130
58,130
59,130
60,130
61,130
62,130
63,130
64,130
65,130
66,130
67,129
68,129
69,129
70,129
71,129
72,129
73,128
74,127
75,122
76,121
77,124
78,124
79,127
80,129
81,129
82,129
83,129
84,129
85,129
86,129
87,129
88,130
89,130
90,130
91,130
92,130
93,130
94,130
95,129
96,129
97,130
98,130
99,130
100,130
101,130
102,130
103,130
104,131
105,131
106,131
107,130
108,131
109,134
110,134
111,131
112,131
113,131
114,130
115,130
116,130
117,130
118,130
119,129
120,129
121,128
122,127
123,126
124,126
125,125
126,125
127,131
128,130
129,130
130,129
131,129
132,130
133,130
134,129
135,130
136,130
137,131
138,131
139,131
140,130
141,129
142,129
143,129
144,129
145,129
146,130
147,129
148,129
149,129
150,129
151,131
152,131
153,137
154,133
155,137
156,131
157,131
158,129
159,129
160,130
161,129
162,129
163,129
164,129
165,129
166,129
167,130
168,130
169,131
170,131
171,131
172,130
173,129
174,129
175,130
176,130
177,128
178,130
179,123
180,130
181,126
182,126
183,127
184,128
185,128
186,128
187,128
188,128
189,128
190,128
191,128
192,128
193,129
194,129
195,129
196,130
197,130
198,129
199,129
200,129
201,130
202,130
203,132
204,132
205,132
206,135
207,136
208,136
209,136
210,135
211,132
212,132
213,131
214,133
215,133
216,133
217,133
218,133
219,131
220,131
221,132
222,131
223,133
224,133
225,131
226,131
227,131
228,132
229,135
230,135
231,136
232,136
233,136
234,136
235,136
236,138
237,138
238,139
239,139
240,139
241,139
242,139
243,139
244,139
245,139
246,138
247,138
248,137
249,137
250,137
251,137
252,137
253,138
254,139
255,140
256,140
257,141
258,141
259,142
260,141
261,141
262,140
263,140
264,140
265,140
266,140
267,141
268,141
269,142
270,142
271,142
272,142
273,142
274,143
275,142
276,142
277,142
278,142
279,141
280,141
281,141
282,142
283,142
284,142
285,142
286,142
287,141
288,141
289,140
290,139
291,139
292,139
293,139
294,140
295,140
296,139
297,139
298,139
299,138
300,139
301,139
302,140
303,140
304,140
305,140
306,140
307,140
308,140
309,140
310,139
311,133
312,132
313,132
314,130
315,130
316,130
317,129
318,130
319,129
320,129
321,129
322,129
323,130
324,131
325,131
326,130
327,131
328,130
329,130
330,129
331,129
332,129
333,129
334,129
335,129
336,129
337,129
338,129
339,130
340,131
341,131
342,130
343,131
344,130
345,130
346,129
347,129
348,129
349,129
350,129
351,127
352,127
353,127
354,127
355,127
356,127
357,127
358,127
359,129
360,130
361,133
362,132
363,132
364,131
365,130
366,129
367,128
368,127
369,126
370,125
371,124
372,130
373,128
374,127
375,127
376,127
377,127
378,129
379,130
380,126
381,126
382,127
383,126
384,126
385,127
386,127
387,127
388,132
389,133
390,132
391,132
392,134
393,131
394,131
395,131
396,130
397,130
398,131
399,133
400,133
401,133
402,133
403,130
404,131
405,131
406,130
407,131
408,131
409,131
410,131
411,131
412,130
413,130
414,129
415,134
416,130
417,126
418,122
419,114
420,104
421,129
422,129
423,129
424,130
425,131
426,131
427,131
428,131
429,131
430,131
431,130
432,129
433,101
434,112
435,123
436,128
437,130
438,131
439,131
440,131
441,134
442,134
443,130
444,130
445,129
446,128
447,129
448,129
449,129
450,129
451,130
452,130
453,130
454,130
455,130
456,130
457,130
458,129
459,129
460,129
461,129
462,129
463,128
464,128
465,127
466,128
467,127
468,121
469,121
470,121
471,127
472,128
473,129
474,129
475,129
476,130
477,129
478,131
479,129
480,129
481,129
482,130
483,130
484,130
485,130
486,130
487,131
488,129
489,129
490,130
491,129
492,129
493,129
494,131
495,132
496,134
497,134
498,133
499,135
500,134
501,132
502,131
503,131
504,131
505,130
506,129
507,127
508,127
509,128
510,128
511,128
512,128
513,128
514,127
515,127
516,126
517,126
518,127
519,126
520,131
521,127
522,127
523,127
524,127
525,127
526,126
527,125
528,131
529,131
530,129
531,130
532,130
533,131
534,131
535,130
536,129
537,129
538,129
539,129
540,129
541,129
542,129
543,131
544,131
545,131
546,134
547,133
548,134
549,131
550,131
551,129
552,130
553,129
554,130
555,129
556,130
557,129
558,125
559,126
560,126
561,128
562,129
563,130
564,131
565,131
566,133
567,133
568,128
