index,II
2,368
3,368
4,369
5,368
6,367
7,366
8,365
9,365
10,365
11,364
12,364
13,364
14,364
15,364
16,364
17,364
18,364
19,364
20,364
21,363
22,363
23,363
24,363
25,363
26,363
27,363
28,363
29,362
30,360
31,358
32,358
33,357
34,358
35,361
36,364
37,370
38,372
39,367
40,364
41,364
42,364
43,364
44,364
45,364
46,364
47,366
48,367
49,368
50,369
51,370
52,371
53,371
54,371
55,370
56,370
57,368
58,367
59,367
60,366
61,365
62,365
63,364
64,364
65,364
66,364
67,364
68,364
69,364
70,364
71,364
72,364
73,364
74,364
75,364
76,363
77,364
78,260
79,363
80,363
81,363
82,362
83,360
84,358
85,357
86,358
87,360
88,362
89,366
90,372
91,370
92,366
93,363
94,364
95,364
96,364
97,364
98,364
99,365
100,367
101,368
102,369
103,370
104,370
105,371
106,372
107,371
108,371
109,370
110,368
111,367
112,366
113,365
114,365
115,365
116,364
117,364
118,364
119,364
120,364
121,364
122,364
123,364
124,364
125,364
126,364
127,364
128,364
129,363
130,363
131,363
132,363
133,363
134,363
135,361
136,359
137,358
138,357
139,358
140,360
141,363
142,366
143,371
144,368
145,364
146,363
147,364
148,364
149,364
150,364
151,364
152,365
153,367
154,270
155,274
156,278
157,282
158,285
159,287
160,288
161,287
162,283
163,279
164,273
165,269
166,265
167,263
168,262
169,262
170,262
171,261
172,261
173,261
174,260
175,260
176,260
177,260
178,260
179,260
180,260
181,260
182,260
183,260
184,260
185,260
186,260
187,259
188,258
189,257
190,255
191,251
192,248
193,240
194,277
195,277
196,276
197,271
198,264
199,261
200,261
201,260
202,259
203,260
204,260
205,261
206,261
207,260
208,259
209,258
210,257
211,255
212,255
213,254
214,254
215,255
216,256
217,258
218,259
219,260
220,260
221,261
222,261
223,261
224,260
225,261
226,261
227,261
228,261
229,260
230,261
231,261
232,260
233,260
234,261
235,260
236,260
237,260
238,260
239,260
240,259
241,257
242,257
243,257
244,261
245,267
246,275
247,278
248,281
249,277
250,268
251,264
252,261
253,260
254,260
255,259
256,260
257,260
258,261
259,261
260,259
261,258
262,258
263,257
264,255
265,255
266,254
267,254
268,255
269,257
270,258
271,260
272,260
273,261
274,261
275,261
276,261
277,261
278,261
279,261
280,261
281,261
282,261
283,261
284,261
285,261
286,261
287,261
288,261
289,261
290,261
291,260
292,260
293,259
294,258
295,258
296,259
297,263
298,269
299,274
300,279
301,279
302,272
303,267
304,262
305,261
306,260
307,260
308,260
309,260
310,261
311,261
312,261
313,260
314,259
315,258
316,257
317,257
318,255
319,255
320,256
321,256
322,258
323,259
324,260
325,260
326,260
327,260
328,260
329,261
330,261
331,261
332,261
333,260
334,260
335,260
336,260
337,260
338,261
339,261
340,260
341,261
342,261
343,260
344,260
345,259
346,258
347,257
348,257
349,260
350,267
351,272
352,277
353,279
354,275
355,269
356,263
357,262
358,261
359,260
360,260
361,260
362,260
363,262
364,261
365,260
366,260
367,259
368,258
369,257
370,256
371,256
372,257
373,257
374,258
375,259
376,260
377,260
378,260
379,260
380,260
381,260
382,260
383,260
384,261
385,261
386,263
387,263
388,263
389,263
390,263
391,263
392,263
393,263
394,263
395,263
396,263
397,262
398,260
399,258
400,252
401,249
402,247
403,247
404,243
405,242
406,245
407,254
408,259
409,263
410,264
411,265
412,265
413,265
414,266
415,267
416,268
417,269
418,270
419,271
420,272
421,272
422,210
423,206
424,199
425,190
426,180
427,173
428,169
429,166
430,165
431,164
432,164
433,164
434,164
435,163
436,163
437,162
438,162
439,163
440,163
441,163
442,163
443,162
444,162
445,162
446,162
447,162
448,162
449,162
450,154
451,259
452,255
453,250
454,248
455,247
456,245
457,243
458,246
459,252
460,258
461,261
462,264
463,264
464,264
465,264
466,264
467,266
468,266
469,268
470,269
471,270
472,271
473,271
474,272
475,271
476,269
477,267
478,264
479,262
480,261
481,261
482,261
483,261
484,261
485,262
486,262
487,262
488,262
489,262
490,262
491,262
492,263
493,263
