index,II
5,141
6,141
7,142
8,141
9,141
10,141
11,141
12,141
13,141
14,141
15,141
16,141
17,141
18,142
19,173
20,173
21,173
22,173
23,174
24,163
25,173
26,173
27,173
28,173
29,173
30,173
31,173
32,173
33,173
34,173
35,173
36,174
37,174
38,173
39,173
40,173
41,145
42,145
43,147
44,149
45,150
46,150
47,152
48,153
49,153
50,152
51,152
52,152
53,151
54,151
55,150
56,150
57,149
58,149
59,148
60,147
61,147
62,147
63,147
64,147
65,147
66,147
67,148
68,148
69,148
70,148
71,148
72,149
73,150
74,150
75,150
76,150
77,150
78,150
79,149
80,150
81,150
82,150
83,150
84,150
85,150
86,150
87,149
88,149
89,148
90,148
91,148
92,148
93,148
94,148
95,148
96,148
97,149
98,149
99,149
100,149
101,150
102,150
103,150
104,152
105,149
106,148
107,147
108,147
109,147
110,147
111,147
112,147
113,147
114,146
115,146
116,146
117,145
118,145
119,145
120,145
121,144
122,145
123,145
124,145
125,146
126,145
127,145
128,145
129,146
130,147
131,148
132,149
133,149
134,143
135,140
136,114
137,113
138,94
139,93
140,92
141,78
142,78
143,78
144,84
145,86
146,101
147,102
148,112
149,121
150,133
151,137
152,140
153,141
154,141
155,141
156,142
157,142
158,142
159,142
160,142
161,142
162,142
163,143
164,143
165,143
166,143
167,143
168,143
169,143
170,143
171,145
172,145
173,146
174,147
175,148
176,149
177,149
178,150
179,151
180,153
181,154
182,154
183,154
184,153
185,153
186,152
187,151
188,150
189,150
190,150
191,149
192,149
193,149
194,149
195,149
196,149
197,149
198,149
199,150
200,150
201,150
202,151
203,150
204,151
205,151
206,151
207,151
208,151
209,151
210,151
211,150
212,151
213,151
214,151
215,151
216,151
217,151
218,151
219,150
220,150
221,150
222,150
223,150
224,150
225,150
226,150
227,150
228,150
229,149
230,149
231,149
232,149
233,150
234,150
235,150
236,150
237,150
238,150
239,150
240,150
241,149
242,148
243,147
244,147
245,147
246,147
247,147
248,146
249,145
250,145
251,146
252,146
253,146
254,146
255,146
256,146
257,145
258,144
259,144
260,144
261,144
262,144
263,145
264,145
265,146
266,141
267,122
268,136
269,126
270,124
271,112
272,109
273,99
274,87
275,78
276,78
277,78
278,87
279,93
280,95
281,96
282,105
283,124
284,128
285,134
286,137
287,140
288,140
289,140
290,141
291,141
292,141
293,141
294,141
295,141
296,142
297,142
298,142
299,141
300,141
