index,II
9,96
10,96
11,97
12,97
13,97
14,97
15,97
16,97
17,96
18,96
19,96
20,96
21,95
22,95
23,95
24,95
25,95
26,95
27,95
28,96
29,96
30,96
31,96
32,96
33,96
34,96
35,96
36,96
37,96
38,96
39,95
40,95
41,96
42,96
43,96
44,96
45,96
46,96
47,96
48,96
49,96
50,96
51,95
52,95
53,95
54,95
55,95
56,95
57,95
58,96
59,97
60,97
61,97
62,98
63,98
64,99
65,99
66,99
67,98
68,98
69,97
70,97
71,98
72,98
73,98
74,98
75,98
76,98
77,98
78,97
79,97
80,97
81,95
82,94
83,94
84,94
85,94
86,94
87,95
88,95
89,94
90,94
91,94
92,95
93,95
94,94
95,94
96,93
97,94
98,95
99,95
100,94
101,92
102,90
103,89
104,90
105,90
106,91
107,92
108,93
109,92
110,93
111,93
112,93
113,93
114,94
115,94
116,94
117,94
118,94
119,94
120,94
121,95
122,95
123,96
124,96
125,96
126,96
127,95
128,96
129,97
130,97
131,98
132,98
133,98
134,98
135,99
136,100
137,101
138,101
139,103
140,104
141,106
142,107
143,109
144,110
145,112
146,112
147,113
148,113
149,113
150,113
151,112
152,110
153,108
154,107
155,105
156,104
157,103
158,102
159,100
160,99
161,98
162,97
163,96
164,96
165,96
166,96
167,95
168,95
169,95
170,95
171,95
172,96
173,96
174,96
175,96
176,96
177,95
178,95
179,95
180,96
181,97
182,98
183,97
184,97
185,97
186,97
187,97
188,98
189,98
190,98
191,99
192,99
193,99
194,99
195,99
196,99
197,99
198,99
199,98
200,98
201,98
202,99
203,99
204,99
205,99
206,99
207,99
208,100
209,99
210,99
211,99
212,98
213,99
214,99
215,99
216,99
217,99
218,99
219,99
220,100
221,100
222,100
223,99
224,99
225,99
226,99
227,99
228,99
229,100
230,100
231,100
232,100
233,100
234,100
235,100
236,100
237,101
238,102
239,102
240,103
241,103
242,103
243,103
244,103
245,102
246,102
247,101
248,101
249,100
250,100
251,100
252,100
253,100
254,99
255,99
256,99
257,99
258,99
259,100
260,100
261,99
262,99
263,99
264,99
265,100
266,100
267,100
268,100
269,101
270,102
271,103
272,102
273,100
274,97
275,95
276,98
277,94
278,96
279,97
280,97
281,97
282,97
283,97
284,98
285,98
286,99
287,99
288,99
289,100
290,100
291,100
292,100
293,100
294,101
295,101
296,101
297,101
298,101
299,101
300,100
301,101
302,101
303,101
304,101
305,102
306,103
307,104
308,105
309,106
310,107
311,108
312,109
313,110
314,112
315,113
316,115
317,116
318,118
319,119
320,119
321,119
322,118
323,118
324,116
325,115
326,113
327,111
328,108
329,106
330,105
331,103
332,102
333,102
334,101
335,101
336,101
337,101
338,101
339,101
340,101
341,100
342,100
343,100
344,99
345,99
346,99
347,98
348,98
349,98
350,98
351,98
352,99
353,99
354,99
355,100
356,100
357,101
358,100
359,100
360,100
361,101
362,101
363,101
364,101
365,101
366,101
367,101
368,101
369,101
370,101
371,101
372,100
373,100
374,100
375,100
376,100
377,100
378,100
379,100
380,100
381,100
382,100
383,100
384,100
385,99
386,100
387,100
388,100
389,100
390,100
391,100
392,99
393,100
394,100
395,100
396,100
397,100
398,101
399,101
400,101
401,100
402,101
403,101
404,101
405,101
406,102
407,102
408,102
409,102
410,102
411,103
412,103
413,102
414,102
415,102
416,101
417,101
418,101
419,101
420,100
421,100
422,99
423,99
424,98
425,97
426,97
427,97
428,97
429,97
430,97
431,97
432,97
433,98
434,99
435,99
436,99
437,98
438,97
439,98
440,99
441,98
442,96
443,94
444,92
445,91
446,92
447,94
448,96
449,97
450,96
451,95
452,95
453,96
454,97
455,97
456,97
457,97
458,96
459,96
460,96
461,97
462,98
463,98
464,98
465,99
466,99
467,99
468,99
469,99
470,99
471,99
472,99
473,100
474,100
475,101
476,102
477,102
478,103
479,104
480,106
481,108
482,109
483,111
484,112
485,113
486,115
487,116
488,116
489,117
490,116
491,115
492,113
493,111
494,110
495,109
496,108
497,105
498,104
499,103
500,102
501,101
502,101
503,100
504,99
505,99
506,99
507,99
508,98
509,98
510,99
511,99
512,99
513,99
514,99
515,99
516,98
517,98
518,99
519,99
520,99
521,99
522,99
523,99
524,99
525,99
526,100
527,100
528,100
529,100
530,100
531,100
532,100
533,100
534,100
535,101
536,101
537,100
538,99
539,99
540,99
541,100
542,100
543,101
544,101
545,101
546,101
547,100
548,101
549,101
550,101
551,101
552,102
553,102
554,102
555,101
556,101
557,101
558,102
559,102
560,103
561,102
562,102
563,101
564,102
565,102
566,102
567,102
568,103
569,102
570,102
571,102
572,103
573,103
574,104
575,104
576,104
577,104
578,105
579,105
580,106
581,106
582,106
583,106
584,105
585,104
586,103
587,103
588,103
589,103
590,103
591,103
592,103
593,102
594,102
595,102
596,102
597,102
598,102
599,102
600,102
601,102
602,103
603,103
604,103
605,102
606,102
607,102
608,105
609,106
610,106
611,104
612,101
613,98
614,96
615,96
616,98
617,100
618,100
619,100
620,100
621,100
622,101
623,101
624,102
625,103
626,103
627,103
628,103
629,103
630,103
631,103
632,103
633,103
634,104
635,103
636,103
637,103
638,103
639,104
640,103
641,103
642,105
643,106
644,106
645,107
646,108
647,110
648,111
649,112
650,113
651,115
652,116
653,118
654,120
655,121
656,122
657,122
658,122
659,121
660,120
661,119
662,118
663,116
664,115
665,112
666,111
667,110
668,109
669,108
670,106
671,105
672,105
673,104
674,104
675,104
676,103
677,103
678,103
679,103
680,103
681,103
682,103
683,103
684,103
685,103
686,103
687,104
688,104
689,104
690,104
691,104
692,103
693,103
694,104
695,104
696,104
697,104
698,104
699,104
700,103
701,104
702,104
703,105
704,105
705,105
706,105
707,105
708,105
709,105
710,105
711,104
712,104
713,104
714,104
715,103
716,103
717,104
718,104
719,104
720,104
721,104
722,104
723,104
724,104
725,104
726,104
727,104
728,104
729,104
730,104
731,104
732,104
733,104
734,104
735,105
736,105
737,105
738,106
739,106
740,107
741,107
742,107
743,107
744,107
745,107
746,107
747,106
748,105
749,105
750,106
751,106
752,106
753,105
754,104
755,103
756,103
757,103
758,103
759,103
760,103
761,103
762,103
