index,II
24,1225
25,1225
26,1225
27,1059
28,1057
29,1056
30,1055
31,1054
32,1053
33,1053
34,1053
35,1052
36,1052
37,1052
38,1052
39,1052
40,1052
41,1052
42,1052
43,1052
44,1052
45,1052
46,1052
47,1052
48,1052
49,1052
50,1052
51,1052
52,1052
53,1052
54,1052
55,1052
56,1052
57,1052
58,1052
59,1052
60,1052
61,1052
62,1052
63,1052
64,1052
65,1052
66,1052
67,1052
68,1052
69,1067
70,1067
71,1026
72,1025
73,1024
74,1024
75,1024
76,1024
77,1024
78,1024
79,1024
80,1024
81,1024
82,1024
83,1024
84,1024
85,1024
86,1024
87,1024
88,1024
89,1024
90,1024
91,1024
92,1024
93,1024
94,1024
95,1024
96,1024
97,1024
98,1024
99,1024
100,1024
101,1024
102,1024
103,1024
104,1024
105,1024
106,1024
107,1024
108,1024
109,1024
110,1024
111,1024
112,1024
113,1024
114,1024
115,1024
116,1024
117,1024
118,1024
119,1024
120,1024
121,1024
122,1024
123,1024
124,1024
125,1024
126,1024
127,1024
128,1024
129,1024
130,1024
131,1024
132,1024
133,1024
134,1024
135,1024
136,1024
137,1024
138,1024
139,1024
140,1024
141,1024
142,1024
143,1024
144,1024
145,1024
146,1024
147,1024
148,1024
149,1024
150,1024
151,1024
152,1024
153,1024
154,1024
155,1024
156,1024
157,1024
158,1024
159,1024
160,1024
161,1024
162,1024
163,1024
164,1024
165,1024
166,1024
167,1024
168,1024
169,1024
170,1024
171,1024
172,1024
173,1024
174,1024
175,1024
176,1024
177,1024
178,1024
179,1024
180,1024
181,1024
182,1024
183,1024
184,1024
185,1024
186,1024
187,1024
188,1024
189,1024
190,1024
191,1024
192,1024
193,1024
194,1024
195,1024
196,1024
197,1024
198,1024
199,1024
200,1024
201,1024
202,1024
203,1024
204,1024
205,1025
206,1026
207,1067
208,1067
209,1067
210,1067
211,1067
212,1067
213,1067
214,1067
215,1067
216,1067
217,1067
218,1067
219,1067
220,1067
221,1067
222,1067
223,1067
224,1067
225,1067
226,1067
227,1067
228,1067
229,1067
230,1067
231,1067
232,1067
233,1067
234,1067
235,1067
236,1067
237,1067
238,1067
239,1067
240,1067
241,1067
242,1067
243,1067
244,1067
245,1067
246,1067
247,1067
248,1067
249,1067
250,1067
251,1067
252,1067
253,1067
254,1067
255,1067
256,1067
257,1067
258,1067
259,1067
260,1067
261,1067
262,1067
263,1067
264,1067
265,1067
266,1067
267,1067
268,1067
269,1067
270,1067
271,1067
272,1067
273,1067
274,1067
275,1067
276,1067
277,1067
278,1067
279,1067
280,1067
281,1067
282,1067
283,1067
284,1067
285,1067
286,1067
287,1067
288,1067
289,1067
290,1067
291,1067
292,1067
293,1067
294,1067
295,1067
296,1067
297,1067
298,1067
299,1067
300,1067
301,1067
302,1067
303,1067
304,1067
305,1067
306,1067
307,1067
308,1067
309,1067
310,1067
311,1067
312,1067
313,1067
314,1067
315,1067
316,1067
317,1067
318,1067
319,1067
320,1067
321,1067
322,1067
323,1067
324,1067
325,1067
326,1067
327,1066
328,1066
329,1070
330,1071
331,1072
332,1073
333,1074
334,1075
335,1076
336,1077
337,1078
338,1079
339,1080
340,1081
341,1082
342,1083
343,1084
344,1085
345,1086
346,1087
347,1088
348,1089
349,1090
350,1091
351,1092
352,1093
353,1094
354,1095
355,1096
356,1097
357,1098
358,1099
359,1100
360,1101
361,1103
362,1103
363,1104
364,1104
365,1104
366,1104
367,1104
368,1104
369,1104
370,1104
371,1104
372,1104
373,1104
374,1104
375,1104
376,1104
377,1104
378,1104
379,1105
380,1116
381,1116
382,1123
383,1124
384,1125
385,1126
386,1127
387,1128
388,1129
389,1130
390,1131
391,1132
392,1133
393,1134
394,1135
395,1135
396,1136
397,1136
398,1137
399,1137
400,1136
401,1136
402,1135
403,1134
404,1134
405,1133
406,1132
407,1131
408,1130
409,1129
410,1128
411,1127
412,1126
413,1125
414,1124
415,1123
416,1122
417,1121
418,1120
419,1119
420,1118
421,1117
422,1116
423,1115
424,1114
425,1113
426,1112
427,1111
428,1110
429,1109
430,1108
431,1107
432,1106
433,1105
434,1104
435,1103
436,1102
437,1101
438,1100
439,1099
440,1098
441,1097
