index,II
0,210
1,210
2,210
3,210
4,210
5,474
6,454
7,454
8,468
9,467
10,467
11,467
12,462
13,454
14,458
15,469
16,471
17,471
18,474
19,475
20,462
21,473
22,461
23,461
24,461
25,472
26,472
27,471
28,473
29,462
30,459
31,463
32,463
33,462
34,462
35,474
36,464
37,464
38,463
39,462
40,460
41,464
42,465
43,459
44,463
45,456
46,463
47,462
48,462
49,469
50,470
51,471
52,464
53,473
54,463
55,464
56,464
57,465
58,474
59,472
60,453
61,477
62,475
63,457
64,464
65,463
66,472
67,463
68,460
69,459
70,477
71,473
72,475
73,472
74,465
75,466
76,470
77,466
78,473
79,465
80,470
81,468
82,457
83,474
84,455
85,465
86,472
87,475
88,469
89,466
90,473
91,474
92,462
93,468
94,471
95,462
96,471
97,476
98,454
99,473
100,462
101,456
102,462
103,453
104,458
105,458
106,462
107,458
108,456
109,459
110,460
111,475
112,461
113,461
114,461
115,460
116,461
117,461
118,475
119,467
120,465
121,475
122,474
123,475
124,463
125,455
126,475
127,475
128,475
129,461
130,467
131,459
132,459
133,460
134,461
135,461
136,460
137,474
138,474
139,474
140,471
141,461
142,474
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,245
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,247
188,210
189,248
190,246
191,210
192,210
193,210
194,210
195,248
196,248
197,248
198,248
199,248
200,210
201,210
202,247
203,210
204,248
205,210
206,210
207,246
208,210
209,210
210,210
211,210
212,248
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,245
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,243
232,243
233,248
234,248
235,243
236,243
237,210
238,210
239,247
240,210
241,246
242,248
243,210
244,210
245,210
246,210
247,243
248,248
249,248
250,243
251,247
252,210
253,210
254,246
255,210
256,243
257,248
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,244
298,244
299,244
300,244
301,248
302,244
303,210
304,210
305,210
306,210
307,210
308,210
309,247
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,248
318,210
319,246
320,210
321,210
322,210
323,210
324,210
325,210
326,248
327,210
328,210
329,210
330,248
331,248
332,248
333,210
334,247
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,210
362,210
363,210
364,210
365,210
366,210
367,210
368,210
369,210
370,210
371,210
372,210
373,210
374,210
375,210
376,210
377,210
378,210
379,210
380,210
381,210
382,210
383,210
384,210
385,210
386,210
387,210
388,210
389,210
390,210
391,210
392,210
393,210
394,210
395,210
396,210
397,210
398,210
399,210
400,210
401,210
402,210
403,210
404,210
405,210
406,210
407,210
408,210
409,210
410,210
411,210
412,210
413,210
414,210
415,210
416,210
417,210
418,210
419,210
420,210
421,210
422,210
423,210
424,210
425,210
426,210
427,210
428,210
429,210
430,210
431,210
432,210
433,210
434,210
435,210
436,210
437,210
438,210
439,210
440,210
441,210
442,210
443,210
444,210
445,210
446,210
447,210
448,210
449,210
450,248
451,249
452,249
453,249
454,249
455,249
456,247
457,247
458,247
459,249
460,249
461,249
462,249
463,249
464,248
465,210
466,210
467,210
468,210
469,210
470,210
471,210
472,210
473,210
474,210
475,210
476,210
477,210
478,210
479,210
480,210
481,210
482,210
483,210
484,210
485,210
486,210
487,210
488,210
489,210
490,210
491,210
492,210
493,210
494,248
495,249
496,249
497,249
498,249
499,249
500,248
501,248
502,248
503,249
504,249
505,249
506,249
507,249
508,248
509,227
510,227
511,227
512,227
513,227
514,227
515,227
516,227
517,210
518,227
519,227
520,227
521,227
522,227
523,227
524,227
525,227
526,227
527,227
528,227
529,210
530,210
531,210
532,210
533,210
534,210
535,210
536,210
537,210
538,210
539,210
540,210
541,210
542,210
543,210
544,210
545,210
546,210
547,210
548,210
549,210
550,210
551,210
552,210
553,210
554,249
555,249
556,249
557,249
558,249
559,249
560,249
561,249
562,249
563,249
564,249
565,249
566,249
567,249
568,249
569,249
570,210
571,210
572,210
573,210
574,210
575,210
576,210
577,210
578,210
579,210
580,223
581,224
582,224
583,224
584,224
585,221
586,210
587,222
588,222
589,222
590,222
591,222
592,222
593,210
594,220
595,222
596,248
597,248
598,248
599,248
600,210
601,248
602,248
603,248
604,248
605,222
606,221
607,248
608,248
609,248
610,248
611,248
612,247
613,247
614,248
615,248
616,246
617,245
618,222
619,219
620,210
621,210
622,210
623,210
624,210
625,210
626,210
627,210
628,210
629,210
630,210
631,210
632,210
633,210
634,210
635,210
636,210
637,210
638,210
639,210
640,210
641,210
642,210
643,210
644,210
645,210
646,210
647,247
648,247
649,246
650,246
651,246
652,246
653,247
654,247
655,210
656,210
657,210
658,210
659,210
660,210
661,210
662,210
663,210
664,210
665,210
666,210
667,210
668,210
669,210
670,210
671,210
672,210
673,210
674,210
675,210
676,210
677,210
678,210
679,210
680,210
681,210
682,210
683,210
684,210
685,210
686,247
687,248
688,248
689,249
690,249
691,249
692,249
693,249
694,248
695,248
696,247
697,243
698,243
699,242
700,210
701,210
702,210
703,210
704,210
705,210
706,210
707,210
708,210
709,210
710,220
711,220
712,219
713,219
714,223
715,223
716,223
717,247
718,224
719,225
720,224
721,224
722,247
723,248
724,248
725,248
726,248
727,248
728,248
729,248
730,248
731,247
732,227
733,226
734,225
735,225
736,247
737,247
738,247
739,247
740,247
741,247
742,247
743,247
744,247
745,247
746,247
747,247
748,247
749,247
750,247
751,247
752,247
753,247
754,247
