I,II,III,aVR,aVL,aVF,v1,v2,v3,v4,v5,v6
-0.0005403354822954,-0.0003883582417582,-0.0003071746031746,0.0004636597069597,-0.0001154958974358,-0.0003465046642246,-0.0005914231990231,-0.0004744587301587,-0.0005081464713064,-0.0003957155067155,-0.0004405207570207,-0.0004284207570207
-0.0005160504517704,-0.0003853242979242,-0.0003254222222222,0.0004485081807081,-9.421931623931596e-05,-0.0003556232722832,-0.0005944717948717,-0.0004653349206349,-0.0005081464713064,-0.0003957155067155,-0.0004375034188034,-0.0004284207570207
-0.0005039079365079,-0.0003853242979242,-0.000334546031746,0.0004424475702075,-8.510078144078116e-05,-0.0003586628083028,-0.0005975203907203,-0.0004592523809523,-0.0005081464713064,-0.0003957155067155,-0.0004405207570207,-0.000431438095238
-0.0005130148229548,-0.0003853242979242,-0.0003254222222222,0.0004485081807081,-9.421931623931596e-05,-0.0003556232722832,-0.0006005689865689,-0.0004562111111111,-0.0005111711111111,-0.0003987365079365,-0.0004465554334554,-0.0004374727716727
-0.000519086080586,-0.0003792564102564,-0.0003193396825396,0.0004485081807081,-0.0001002983394383,-0.0003495442002442,-0.0006005689865689,-0.0004531698412698,-0.0005141957509157,-0.0004077995115995,-0.0004495727716727,-0.0004465247863247
-0.0005069435653235,-0.0003762224664224,-0.0003284634920634,0.0004394172649572,-8.814029304029276e-05,-0.0003525837362637,-0.0006036175824175,-0.0004470873015873,-0.0005111711111111,-0.0004108205128205,-0.0004586247863247,-0.0004525594627594
-0.0005099791941391,-0.0003822903540903,-0.0003254222222222,0.0004454778754578,-9.117980463980436e-05,-0.0003525837362637,-0.0005944717948717,-0.0004318809523809,-0.0004990725518925,-0.0004017575091575,-0.0004525901098901,-0.0004435074481074
-0.0005160504517704,-0.0003944261294261,-0.0003315047619047,0.0004545687912087,-9.117980463980436e-05,-0.0003617023443223,-0.000585326007326,-0.0004197158730158,-0.0004899986324786,-0.0003957155067155,-0.0004465554334554,-0.0004374727716727
-0.0005221217094017,-0.0003913921855921,-0.0003254222222222,0.0004545687912087,-9.725882783882755e-05,-0.0003586628083028,-0.000585326007326,-0.0004136333333333,-0.0004839493528693,-0.0003926945054945,-0.000443538095238,-0.0004344554334554
-0.0005221217094017,-0.0003822903540903,-0.0003132571428571,0.0004515384859584,-0.0001033378510378,-0.0003465046642246,-0.0005822774114774,-0.0004014682539682,-0.00047790007326,-0.0003896735042735,-0.0004405207570207,-0.0004374727716727
-0.0005130148229548,-0.0003792564102564,-0.0003193396825396,0.0004454778754578,-9.725882783882755e-05,-0.0003495442002442,-0.000585326007326,-0.0003953857142857,-0.00047790007326,-0.0003957155067155,-0.0004495727716727,-0.0004435074481074
