I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-168.0,-303.0,-429.0,-554.0,-698.0,-833.0,-129,-250,-377,-523,-666,-783
-168.0,-303.0,-430.0,-554.0,-698.0,-833.0,-129,-250,-377,-523,-666,-783
-168.0,-303.0,-431.0,-554.0,-698.0,-833.0,-129,-249,-376,-523,-667,-783
-167.0,-303.0,-430.0,-555.0,-698.0,-833.0,-129,-248,-375,-524,-668,-782
-167.0,-303.0,-429.0,-555.0,-698.0,-833.0,-129,-247,-374,-524,-669,-781
-166.0,-303.0,-430.0,-556.0,-698.0,-834.0,-129,-245,-373,-525,-669,-779
-165.0,-303.0,-430.0,-557.0,-697.0,-835.0,-129,-242,-371,-525,-670,-778
-163.0,-302.0,-433.0,-558.0,-696.0,-834.0,-129,-244,-368,-526,-671,-776
-163.0,-302.0,-431.0,-559.0,-696.0,-833.0,-128,-245,-371,-528,-673,-774
-163.0,-300.0,-430.0,-559.0,-696.0,-833.0,-127,-246,-372,-526,-671,-776
-163.0,-299.0,-429.0,-559.0,-696.0,-832.0,-126,-247,-373,-526,-670,-776
-164.0,-299.0,-429.0,-559.0,-696.0,-831.0,-125,-248,-375,-525,-669,-777
-165.0,-298.0,-429.0,-558.0,-697.0,-830.0,-123,-249,-380,-523,-668,-778
-166.0,-298.0,-429.0,-557.0,-697.0,-830.0,-123,-251,-382,-522,-666,-792
-169.0,-299.0,-429.0,-554.0,-697.0,-830.0,-123,-252,-386,-516,-665,-793
-166.0,-299.0,-428.0,-557.0,-698.0,-831.0,-123,-253,-387,-520,-661,-793
-165.0,-303.0,-428.0,-558.0,-700.0,-833.0,-123,-254,-389,-521,-658,-793
-164.0,-300.0,-428.0,-559.0,-698.0,-831.0,-123,-255,-390,-522,-658,-793
-164.0,-299.0,-427.0,-560.0,-697.0,-830.0,-124,-255,-391,-523,-659,-794
-164.0,-298.0,-426.0,-560.0,-698.0,-829.0,-124,-256,-392,-524,-660,-794
-163.0,-296.0,-425.0,-561.0,-698.0,-829.0,-125,-257,-393,-524,-661,-795
-163.0,-295.0,-424.0,-561.0,-699.0,-828.0,-124,-257,-393,-525,-662,-796
-163.0,-294.0,-423.0,-562.0,-700.0,-827.0,-124,-257,-395,-526,-663,-797
-163.0,-293.0,-422.0,-562.0,-700.0,-826.0,-124,-257,-393,-526,-663,-797
-163.0,-292.0,-421.0,-563.0,-701.0,-825.0,-123,-257,-393,-528,-664,-798
-164.0,-291.0,-419.0,-563.0,-702.0,-824.0,-123,-257,-392,-527,-664,-798
-168.0,-290.0,-418.0,-563.0,-703.0,-823.0,-123,-257,-391,-526,-664,-798
-165.0,-289.0,-416.0,-564.0,-704.0,-821.0,-123,-257,-391,-526,-666,-798
-164.0,-288.0,-414.0,-564.0,-704.0,-820.0,-123,-257,-391,-525,-664,-799
-164.0,-287.0,-413.0,-565.0,-705.0,-818.0,-123,-257,-391,-525,-664,-798
-163.0,-285.0,-412.0,-567.0,-705.0,-817.0,-123,-257,-390,-525,-664,-798
-164.0,-283.0,-411.0,-569.0,-706.0,-815.0,-123,-257,-390,-524,-664,-798
-165.0,-281.0,-407.0,-567.0,-707.0,-814.0,-123,-257,-390,-524,-663,-798
-167.0,-280.0,-409.0,-566.0,-709.0,-810.0,-123,-257,-390,-524,-663,-798
-165.0,-278.0,-410.0,-566.0,-707.0,-812.0,-123,-257,-389,-523,-663,-797
-164.0,-280.0,-411.0,-566.0,-706.0,-813.0,-123,-257,-389,-523,-662,-796
-163.0,-280.0,-413.0,-566.0,-705.0,-814.0,-123,-257,-389,-523,-661,-795
-162.0,-281.0,-415.0,-566.0,-703.0,-815.0,-123,-257,-389,-520,-660,-794
-161.0,-282.0,-416.0,-566.0,-701.0,-816.0,-123,-257,-389,-523,-660,-794
-161.0,-283.0,-418.0,-566.0,-700.0,-817.0,-123,-257,-389,-523,-660,-794
-161.0,-284.0,-421.0,-566.0,-699.0,-819.0,-123,-257,-389,-523,-663,-795
-161.0,-285.0,-422.0,-565.0,-698.0,-821.0,-123,-257,-388,-522,-661,-797
-161.0,-287.0,-425.0,-564.0,-697.0,-822.0,-123,-257,-386,-521,-660,-795
-161.0,-289.0,-426.0,-563.0,-696.0,-824.0,-124,-257,-388,-519,-660,-794
-161.0,-290.0,-427.0,-562.0,-696.0,-826.0,-124,-257,-389,-521,-660,-794
