aVR,aVL,aVF,V4,V5,V6,V1,V2,V3,I,II,III
-311,-760,-1238,-338.0,-766.0,-1192.0,-335.0,-766.0,-1206.0,-339.0,-812.0,-1239.0
-311,-760,-1238,-341.0,-766.0,-1192.0,-335.0,-766.0,-1206.0,-339.0,-812.0,-1239.0
-312,-758,-1238,-344.0,-766.0,-1194.0,-335.0,-767.0,-1207.0,-339.0,-815.0,-1241.0
-311,-758,-1238,-347.0,-768.0,-1198.0,-334.0,-767.0,-1209.0,-343.0,-821.0,-1247.0
-311,-757,-1239,-349.0,-771.0,-1200.0,-334.0,-768.0,-1210.0,-340.0,-837.0,-1263.0
-311,-757,-1239,-351.0,-774.0,-1202.0,-333.0,-768.0,-1211.0,-339.0,-819.0,-1246.0
-311,-757,-1239,-353.0,-776.0,-1204.0,-333.0,-769.0,-1212.0,-337.0,-789.0,-1224.0
-311,-757,-1240,-354.0,-777.0,-1204.0,-333.0,-769.0,-1212.0,-335.0,-779.0,-1212.0
-310,-757,-1240,-355.0,-778.0,-1204.0,-333.0,-770.0,-1213.0,-333.0,-750.0,-1186.0
-309,-755,-1244,-356.0,-779.0,-1205.0,-333.0,-770.0,-1213.0,-326.0,-725.0,-1161.0
-306,-752,-1251,-356.0,-779.0,-1205.0,-331.0,-770.0,-1216.0,-331.0,-705.0,-1143.0
-304,-749,-1257,-357.0,-779.0,-1205.0,-332.0,-771.0,-1213.0,-333.0,-717.0,-1147.0
-299,-746,-1262,-357.0,-779.0,-1205.0,-333.0,-771.0,-1212.0,-336.0,-738.0,-1163.0
-290,-738,-1279,-358.0,-780.0,-1205.0,-333.0,-771.0,-1211.0,-340.0,-754.0,-1179.0
-297,-744,-1265,-358.0,-780.0,-1206.0,-333.0,-771.0,-1209.0,-343.0,-772.0,-1194.0
-304,-750,-1252,-361.0,-781.0,-1207.0,-333.0,-771.0,-1208.0,-347.0,-797.0,-1208.0
-312,-755,-1237,-365.0,-782.0,-1207.0,-333.0,-771.0,-1206.0,-350.0,-805.0,-1221.0
-331,-771,-1212,-370.0,-784.0,-1175.0,-334.0,-772.0,-1205.0,-351.0,-815.0,-1225.0
-348,-785,-1170,-376.0,-789.0,-1175.0,-335.0,-772.0,-1203.0,-350.0,-807.0,-1226.0
-357,-794,-1158,-383.0,-796.0,-1174.0,-336.0,-772.0,-1202.0,-348.0,-805.0,-1226.0
-370,-801,-1096,-380.0,-802.0,-1169.0,-336.0,-772.0,-1200.0,-345.0,-802.0,-1226.0
-389,-824,-1173,-361.0,-807.0,-1190.0,-338.0,-772.0,-1199.0,-343.0,-800.0,-1228.0
-361,-808,-1097,-332.0,-809.0,-1196.0,-339.0,-773.0,-1198.0,-341.0,-798.0,-1226.0
-351,-804,-1154,-326.0,-800.0,-1162.0,-341.0,-774.0,-1198.0,-339.0,-796.0,-1226.0
-338,-796,-1177,-344.0,-789.0,-1161.0,-342.0,-775.0,-1197.0,-338.0,-795.0,-1226.0
-324,-786,-1192,-397.0,-750.0,-1158.0,-343.0,-776.0,-1195.0,-337.0,-794.0,-1225.0
-315,-779,-1215,-292.0,-761.0,-1155.0,-344.0,-777.0,-1197.0,-336.0,-792.0,-1224.0
-310,-774,-1222,-356.0,-782.0,-1189.0,-346.0,-778.0,-1199.0,-336.0,-791.0,-1223.0
-303,-771,-1228,-356.0,-795.0,-1197.0,-347.0,-779.0,-1199.0,-336.0,-789.0,-1222.0
-308,-767,-1232,-356.0,-805.0,-1203.0,-349.0,-782.0,-1201.0,-335.0,-788.0,-1221.0
-310,-764,-1233,-356.0,-802.0,-1206.0,-347.0,-780.0,-1203.0,-335.0,-787.0,-1220.0
-312,-762,-1234,-356.0,-799.0,-1208.0,-346.0,-779.0,-1205.0,-335.0,-786.0,-1220.0
-314,-760,-1235,-356.0,-797.0,-1199.0,-345.0,-779.0,-1206.0,-335.0,-784.0,-1219.0
-314,-758,-1236,-356.0,-795.0,-1199.0,-343.0,-777.0,-1208.0,-334.0,-783.0,-1218.0
-315,-757,-1237,-356.0,-793.0,-1199.0,-341.0,-776.0,-1210.0,-334.0,-782.0,-1216.0
-315,-756,-1237,-356.0,-792.0,-1199.0,-339.0,-775.0,-1213.0,-333.0,-780.0,-1215.0
-315,-756,-1239,-356.0,-791.0,-1199.0,-337.0,-774.0,-1215.0,-333.0,-779.0,-1214.0
-316,-756,-1237,-356.0,-790.0,-1199.0,-334.0,-772.0,-1218.0,-333.0,-777.0,-1213.0
-317,-756,-1237,-356.0,-789.0,-1199.0,-331.0,-771.0,-1221.0,-332.0,-776.0,-1212.0
-317,-756,-1236,-356.0,-789.0,-1199.0,-327.0,-769.0,-1223.0,-332.0,-774.0,-1211.0
-318,-756,-1236,-356.0,-783.0,-1199.0,-325.0,-768.0,-1225.0,-332.0,-772.0,-1210.0
-318,-756,-1235,-356.0,-783.0,-1199.0,-323.0,-768.0,-1227.0,-331.0,-771.0,-1209.0
-319,-756,-1235,-356.0,-783.0,-1199.0,-321.0,-767.0,-1229.0,-330.0,-769.0,-1207.0
-320,-756,-1234,-356.0,-783.0,-1199.0,-320.0,-766.0,-1231.0,-330.0,-767.0,-1206.0
-321,-756,-1233,-356.0,-783.0,-1199.0,-319.0,-766.0,-1233.0,-329.0,-765.0,-1204.0
-321,-756,-1232,-356.0,-783.0,-1199.0,-319.0,-766.0,-1235.0,-328.0,-763.0,-1203.0
