aVR,aVL,aVF,V4,V5,V6,V1,V2,V3,I,II,III
-133.0,-484.0,-486,-147.0,-293.0,-476.0,-133.0,-123.0,-487.0,-134.0,-306.0,-485.0
-133.0,-483.0,-486,-147.0,-294.0,-477.0,-133.0,-127.0,-487.0,-134.0,-307.0,-485.0
-133.0,-482.0,-486,-149.0,-296.0,-479.0,-132.0,-135.0,-487.0,-134.0,-307.0,-485.0
-133.0,-480.0,-486,-150.0,-298.0,-480.0,-132.0,-314.0,-486.0,-134.0,-307.0,-485.0
-133.0,-480.0,-486,-152.0,-300.0,-481.0,-133.0,-315.0,-486.0,-134.0,-303.0,-485.0
-132.0,-480.0,-485,-153.0,-301.0,-481.0,-134.0,-316.0,-486.0,-134.0,-304.0,-485.0
-128.0,-482.0,-485,-154.0,-302.0,-481.0,-135.0,-317.0,-484.0,-133.0,-307.0,-485.0
-132.0,-482.0,-485,-155.0,-302.0,-480.0,-138.0,-317.0,-483.0,-133.0,-308.0,-485.0
-133.0,-483.0,-485,-157.0,-310.0,-480.0,-136.0,-318.0,-482.0,-132.0,-309.0,-485.0
-136.0,-484.0,-486,-146.0,-309.0,-480.0,-133.0,-320.0,-484.0,-129.0,-310.0,-484.0
-137.0,-484.0,-486,-145.0,-308.0,-478.0,-127.0,-322.0,-489.0,-132.0,-310.0,-481.0
-137.0,-486.0,-487,-144.0,-307.0,-480.0,-127.0,-323.0,-495.0,-133.0,-311.0,-483.0
-138.0,-308.0,-486,-142.0,-306.0,-480.0,-126.0,-325.0,-500.0,-133.0,-313.0,-484.0
-137.0,-308.0,-486,-140.0,-305.0,-480.0,-125.0,-329.0,-506.0,-133.0,-312.0,-484.0
-137.0,-309.0,-485,-139.0,-303.0,-481.0,-120.0,-331.0,-516.0,-133.0,-311.0,-485.0
-136.0,-310.0,-485,-137.0,-303.0,-482.0,-118.0,-333.0,-507.0,-131.0,-311.0,-485.0
-136.0,-310.0,-485,-134.0,-303.0,-482.0,-118.0,-336.0,-502.0,-133.0,-311.0,-485.0
-135.0,-312.0,-485,-133.0,-300.0,-483.0,-117.0,-339.0,-496.0,-134.0,-311.0,-485.0
-135.0,-311.0,-485,-131.0,-297.0,-483.0,-101.0,-342.0,-493.0,-134.0,-311.0,-485.0
-135.0,-309.0,-484,-124.0,-300.0,-484.0,-120.0,-346.0,-490.0,-135.0,-311.0,-485.0
-135.0,-308.0,-484,-123.0,-301.0,-484.0,-123.0,-349.0,-490.0,-136.0,-311.0,-485.0
-134.0,-307.0,-483,-115.0,-302.0,-485.0,-127.0,-352.0,-490.0,-135.0,-311.0,-486.0
-133.0,-305.0,-482,-122.0,-303.0,-485.0,-135.0,-354.0,-490.0,-135.0,-311.0,-486.0
-132.0,-303.0,-480,-123.0,-303.0,-486.0,-136.0,-356.0,-491.0,-134.0,-311.0,-487.0
-130.0,-298.0,-478,-126.0,-304.0,-486.0,-137.0,-358.0,-492.0,-134.0,-311.0,-488.0
-132.0,-300.0,-480,-127.0,-305.0,-486.0,-138.0,-357.0,-492.0,-135.0,-312.0,-489.0
-133.0,-303.0,-482,-127.0,-305.0,-486.0,-138.0,-356.0,-493.0,-135.0,-313.0,-488.0
-135.0,-307.0,-482,-127.0,-306.0,-486.0,-139.0,-354.0,-494.0,-135.0,-312.0,-487.0
-136.0,-309.0,-483,-128.0,-307.0,-486.0,-140.0,-352.0,-495.0,-136.0,-311.0,-487.0
-140.0,-311.0,-484,-129.0,-307.0,-486.0,-140.0,-348.0,-496.0,-135.0,-311.0,-486.0
-134.0,-314.0,-484,-129.0,-307.0,-486.0,-141.0,-344.0,-498.0,-135.0,-310.0,-486.0
-131.0,-311.0,-485,-130.0,-307.0,-486.0,-142.0,-340.0,-500.0,-135.0,-309.0,-487.0
-128.0,-311.0,-485,-130.0,-307.0,-486.0,-143.0,-335.0,-502.0,-134.0,-307.0,-487.0
-124.0,-309.0,-486,-130.0,-307.0,-487.0,-144.0,-330.0,-504.0,-134.0,-306.0,-487.0
-119.0,-308.0,-487,-131.0,-307.0,-487.0,-145.0,-325.0,-507.0,-134.0,-305.0,-487.0
-123.0,-306.0,-486,-131.0,-307.0,-487.0,-147.0,-320.0,-510.0,-134.0,-302.0,-489.0
-124.0,-308.0,-486,-131.0,-308.0,-487.0,-148.0,-316.0,-513.0,-134.0,-306.0,-488.0
-126.0,-309.0,-485,-131.0,-308.0,-487.0,-150.0,-312.0,-516.0,-134.0,-307.0,-487.0
-128.0,-309.0,-484,-132.0,-308.0,-488.0,-151.0,-310.0,-519.0,-134.0,-308.0,-487.0
-130.0,-309.0,-483,-132.0,-308.0,-487.0,-152.0,-308.0,-521.0,-134.0,-309.0,-487.0
-131.0,-309.0,-483,-132.0,-308.0,-487.0,-154.0,-306.0,-524.0,-134.0,-310.0,-486.0
-132.0,-309.0,-486,-132.0,-308.0,-487.0,-156.0,-305.0,-527.0,-134.0,-311.0,-485.0
-133.0,-309.0,-489,-132.0,-308.0,-487.0,-157.0,-304.0,-529.0,-133.0,-312.0,-484.0
-134.0,-309.0,-496,-132.0,-309.0,-487.0,-160.0,-302.0,-531.0,-133.0,-313.0,-484.0
-134.0,-309.0,-502,-132.0,-309.0,-487.0,-158.0,-304.0,-530.0,-132.0,-312.0,-483.0
-134.0,-309.0,-511,-132.0,-310.0,-486.0,-157.0,-304.0,-529.0,-129.0,-312.0,-481.0
-134.0,-309.0,-505,-132.0,-309.0,-486.0,-157.0,-306.0,-528.0,-132.0,-311.0,-483.0
-134.0,-310.0,-501,-133.0,-309.0,-486.0,-155.0,-307.0,-525.0,-133.0,-310.0,-483.0
-134.0,-310.0,-495,-134.0,-308.0,-486.0,-153.0,-308.0,-521.0,-133.0,-309.0,-484.0
-134.0,-310.0,-491,-133.0,-308.0,-486.0,-151.0,-308.0,-518.0,-134.0,-308.0,-485.0
-131.0,-310.0,-487,-133.0,-308.0,-486.0,-148.0,-309.0,-514.0,-135.0,-307.0,-486.0
-133.0,-310.0,-485,-132.0,-308.0,-486.0,-146.0,-309.0,-510.0,-135.0,-311.0,-486.0
-134.0,-310.0,-485,-132.0,-308.0,-486.0,-143.0,-310.0,-506.0,-135.0,-316.0,-486.0
-134.0,-310.0,-485,-132.0,-307.0,-486.0,-140.0,-309.0,-502.0,-137.0,-324.0,-487.0
-134.0,-311.0,-486,-132.0,-307.0,-486.0,-137.0,-309.0,-498.0,-135.0,-330.0,-487.0
-134.0,-312.0,-487,-131.0,-307.0,-485.0,-135.0,-309.0,-494.0,-135.0,-338.0,-488.0
-134.0,-313.0,-486,-131.0,-307.0,-485.0,-133.0,-308.0,-490.0,-135.0,-329.0,-487.0
-134.0,-313.0,-485,-131.0,-307.0,-485.0,-131.0,-308.0,-486.0,-134.0,-325.0,-487.0
-134.0,-313.0,-485,-131.0,-307.0,-485.0,-130.0,-308.0,-483.0,-133.0,-320.0,-487.0
-135.0,-313.0,-485,-130.0,-307.0,-486.0,-129.0,-308.0,-481.0,-132.0,-316.0,-486.0
-135.0,-314.0,-485,-131.0,-307.0,-486.0,-128.0,-309.0,-480.0,-128.0,-314.0,-486.0
-135.0,-313.0,-485,-131.0,-307.0,-487.0,-126.0,-309.0,-479.0,-132.0,-312.0,-486.0
-136.0,-313.0,-485,-131.0,-308.0,-487.0,-128.0,-311.0,-479.0,-133.0,-312.0,-489.0
-136.0,-313.0,-486,-131.0,-308.0,-488.0,-128.0,-310.0,-477.0,-135.0,-311.0,-494.0
-136.0,-313.0,-487,-131.0,-309.0,-489.0,-129.0,-309.0,-479.0,-136.0,-311.0,-500.0
-136.0,-312.0,-486,-132.0,-309.0,-488.0,-129.0,-309.0,-479.0,-137.0,-311.0,-505.0
-136.0,-312.0,-485,-132.0,-310.0,-487.0,-130.0,-309.0,-480.0,-138.0,-310.0,-512.0
-137.0,-311.0,-485,-132.0,-311.0,-486.0,-130.0,-309.0,-481.0,-139.0,-310.0,-503.0
-138.0,-311.0,-484,-133.0,-310.0,-484.0,-130.0,-309.0,-482.0,-140.0,-310.0,-498.0
-138.0,-311.0,-484,-134.0,-309.0,-482.0,-130.0,-309.0,-482.0,-143.0,-310.0,-492.0
-138.0,-310.0,-484,-133.0,-307.0,-484.0,-131.0,-309.0,-483.0,-139.0,-310.0,-486.0
-139.0,-310.0,-484,-132.0,-300.0,-487.0,-131.0,-309.0,-483.0,-137.0,-310.0,-480.0
-138.0,-310.0,-483,-130.0,-298.0,-491.0,-132.0,-311.0,-484.0,-135.0,-310.0,-484.0
-138.0,-311.0,-482,-123.0,-286.0,-495.0,-133.0,-319.0,-484.0,-133.0,-309.0,-486.0
-138.0,-313.0,-481,-100.0,-301.0,-499.0,-133.0,-312.0,-484.0,-133.0,-309.0,-487.0
-138.0,-311.0,-480,-129.0,-308.0,-496.0,-133.0,-311.0,-484.0,-134.0,-309.0,-490.0
-137.0,-310.0,-480,-96.0,-321.0,-494.0,-133.0,-310.0,-484.0,-136.0,-310.0,-487.0
-137.0,-309.0,-479,-125.0,-328.0,-494.0,-133.0,-309.0,-484.0,-135.0,-311.0,-486.0
-137.0,-309.0,-478,-141.0,-335.0,-493.0,-133.0,-309.0,-484.0,-134.0,-310.0,-486.0
-137.0,-309.0,-478,-160.0,-329.0,-492.0,-134.0,-309.0,-484.0,-134.0,-309.0,-486.0
-136.0,-309.0,-477,-179.0,-325.0,-490.0,-133.0,-309.0,-484.0,-134.0,-309.0,-486.0
-136.0,-309.0,-477,-169.0,-321.0,-489.0,-133.0,-309.0,-485.0,-134.0,-308.0,-488.0
-135.0,-309.0,-476,-162.0,-319.0,-487.0,-133.0,-309.0,-485.0,-134.0,-308.0,-487.0
-134.0,-309.0,-477,-156.0,-316.0,-485.0,-133.0,-307.0,-486.0,-134.0,-307.0,-486.0
-134.0,-309.0,-477,-149.0,-314.0,-485.0,-133.0,-303.0,-485.0,-134.0,-306.0,-486.0
