index,II
1,27
2,27
3,27
4,55
5,58
6,58
7,58
8,58
9,58
10,58
11,58
12,58
13,58
14,58
15,58
16,58
17,55
18,27
19,27
20,25
21,21
22,22
23,25
24,28
25,30
26,32
27,34
28,33
29,31
30,30
31,29
32,28
33,28
34,28
35,29
36,29
37,29
38,31
39,32
40,35
41,36
42,33
43,30
44,28
45,27
46,26
47,25
48,28
49,34
50,23
51,18
52,18
53,17
54,16
55,16
56,16
57,16
58,16
59,16
60,17
61,17
62,18
63,21
64,24
65,27
66,29
67,31
68,31
69,31
70,29
71,28
72,27
73,26
74,26
75,27
76,27
77,27
78,27
79,29
80,31
81,33
82,34
83,32
84,28
85,26
86,25
87,25
88,25
89,30
90,35
91,22
92,20
93,18
94,17
95,16
96,16
97,16
98,16
99,15
100,15
101,16
102,18
103,20
104,23
105,26
106,29
107,31
108,33
109,33
110,32
111,31
112,30
113,29
114,29
115,29
116,28
117,28
118,28
119,28
120,29
121,31
122,34
123,34
124,32
125,28
126,26
127,26
128,25
129,25
130,29
131,36
132,26
133,22
134,19
135,17
136,17
137,17
138,16
139,16
140,16
141,16
142,17
143,18
144,20
145,23
146,26
147,29
148,30
149,31
150,32
151,31
152,30
153,29
154,28
155,28
156,28
157,28
158,28
159,28
160,28
161,30
162,31
163,32
164,33
165,33
166,29
167,27
168,26
169,26
170,25
171,28
172,36
173,32
174,22
175,20
176,18
177,18
178,18
179,17
180,17
181,17
182,17
183,17
184,17
185,19
186,21
187,24
188,28
189,29
190,31
191,32
192,32
193,30
194,29
195,29
196,28
197,28
198,28
199,28
200,28
201,28
202,29
203,31
204,32
205,34
206,34
207,31
208,28
209,27
210,26
211,26
212,26
213,34
214,37
215,27
216,22
217,20
218,17
219,18
220,17
221,17
222,18
223,18
224,18
225,18
226,19
227,21
228,23
229,26
230,29
231,32
232,33
233,33
234,32
235,31
236,30
237,29
238,29
239,29
240,28
241,29
242,29
243,29
244,31
245,32
246,34
247,35
248,34
249,31
250,28
251,27
252,27
253,27
254,31
255,37
256,27
257,22
258,21
259,20
260,19
261,19
262,18
263,17
264,18
265,18
266,18
267,20
268,21
269,23
270,26
271,29
272,31
273,33
274,33
275,32
276,32
277,30
278,29
279,28
280,28
281,28
282,28
283,28
284,29
285,30
286,32
287,34
288,34
289,32
290,29
291,27
292,26
293,25
294,26
295,29
296,36
297,22
298,20
299,19
300,18
301,18
302,18
303,17
304,17
305,16
306,17
307,18
308,19
309,20
310,23
311,25
312,29
313,31
314,32
315,33
316,32
317,31
318,30
319,30
320,29
321,29
322,29
323,29
324,29
325,30
326,31
327,34
328,35
329,35
330,33
331,30
332,28
333,27
334,27
335,27
336,30
337,39
338,26
339,22
340,21
341,19
342,18
343,18
344,17
345,17
346,16
347,16
348,17
349,18
350,20
351,22
352,26
353,28
354,30
355,32
356,33
357,32
358,31
359,30
360,30
361,28
362,27
363,27
364,27
365,28
366,29
367,30
368,33
369,34
370,34
371,31
372,29
373,28
374,27
375,26
376,27
377,30
378,27
379,23
380,20
381,18
382,18
383,18
384,18
385,17
386,17
387,17
388,17
389,18
390,19
391,22
392,24
393,27
394,30
395,31
396,33
397,33
398,32
399,30
400,29
401,28
402,28
403,27
404,27
405,27
406,28
407,30
408,32
409,34
410,35
411,32
412,29
413,27
414,25
415,25
416,26
417,27
418,36
419,27
420,22
421,20
422,19
423,19
424,18
425,18
426,17
427,17
428,18
429,18
430,18
431,21
432,24
433,27
434,30
435,32
436,33
437,32
438,31
439,30
440,29
441,28
442,27
443,27
444,27
445,27
446,28
447,31
448,33
449,34
450,33
451,29
452,27
453,26
454,26
455,26
456,28
457,37
458,31
459,21
460,20
461,18
462,18
463,17
464,17
465,17
466,17
467,18
468,17
469,18
470,21
471,23
472,26
473,29
474,33
475,35
476,36
477,34
478,32
479,31
480,29
481,28
482,28
483,28
484,28
485,28
486,29
487,30
488,32
489,33
490,32
491,29
492,27
493,25
494,25
495,25
496,26
497,35
498,33
499,22
500,20
501,18
502,16
503,15
504,15
505,15
506,15
507,15
508,15
509,16
510,17
511,20
512,22
513,26
514,28
515,30
516,32
517,31
518,30
519,29
520,28
521,28
522,27
523,27
524,27
525,27
526,28
527,30
528,31
529,32
530,31
531,28
532,26
533,26
534,25
535,25
536,26
537,29
538,28
539,26
540,22
541,20
542,20
543,20
544,19
545,19
546,18
547,19
548,19
549,20
550,22
551,24
552,26
553,29
554,33
555,34
556,35
557,35
558,34
559,32
560,32
561,31
562,31
563,31
564,31
565,30
566,30
567,32
568,33
569,35
570,35
571,32
572,29
573,27
574,27
575,27
576,27
577,30
578,37
579,26
580,22
581,20
582,19
583,19
584,18
585,17
586,16
587,16
588,16
589,16
590,18
591,21
592,24
593,27
594,31
595,34
596,35
597,36
598,34
599,32
600,32
601,32
602,31
603,30
604,29
605,29
606,29
607,30
608,32
609,34
610,35
611,33
612,30
613,28
614,26
615,26
616,26
617,30
618,31
619,22
620,19
621,19
622,18
623,18
624,17
625,17
626,17
627,17
628,17
629,18
630,18
631,22
632,24
633,27
634,30
635,32
636,34
637,33
638,32
639,31
640,30
641,29
642,28
643,29
644,29
645,29
646,30
647,31
648,33
649,35
650,36
651,33
652,29
653,28
654,28
655,27
656,27
657,30
658,38
659,30
660,21
661,21
662,20
663,19
664,19
665,18
666,18
667,18
668,18
669,18
670,19
671,21
672,23
673,25
674,29
675,31
676,33
677,34
678,32
679,31
680,30
681,29
682,29
683,29
