index,II
6,70
7,70
8,70
9,138
10,138
11,138
12,138
13,138
14,138
15,66
16,65
17,65
18,75
19,76
20,32
21,32
22,32
23,32
24,32
25,32
26,32
27,32
28,32
29,32
30,32
31,32
32,71
33,32
34,32
35,32
36,32
37,32
38,32
39,32
40,32
41,32
42,32
43,32
44,32
45,32
46,32
47,32
48,32
49,32
50,32
51,60
52,21
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,5
63,4
64,4
65,4
66,4
67,4
68,4
69,60
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,4
84,4
85,4
86,4
87,4
88,60
89,32
90,32
91,32
92,32
93,32
94,32
95,32
96,32
97,32
98,32
99,32
100,32
101,32
102,32
103,32
104,32
105,32
106,41
107,71
108,32
109,32
110,32
111,32
112,32
113,32
114,32
115,32
116,32
117,32
118,32
119,32
120,32
121,32
122,32
123,32
124,32
125,39
126,4
127,4
128,4
129,6
130,4
131,4
132,4
133,6
134,4
135,4
136,4
137,4
138,4
139,4
140,6
141,4
142,4
143,4
144,47
145,4
146,4
147,4
148,4
149,4
150,4
151,6
152,4
153,4
154,4
155,24
156,4
157,4
158,4
159,34
160,4
161,4
162,15
163,55
164,4
165,4
166,4
167,4
168,4
169,4
170,6
171,4
172,4
173,4
174,6
175,4
176,4
177,4
178,4
179,4
180,4
181,25
182,60
183,4
184,4
185,4
186,4
187,4
188,4
189,4
190,4
191,4
192,4
193,6
194,4
195,4
196,4
197,4
198,4
199,4
200,37
201,6
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
212,4
213,4
214,4
215,6
216,4
217,4
218,4
219,56
220,32
221,32
222,32
223,32
224,32
225,32
226,32
227,33
228,32
229,32
230,32
231,32
232,32
233,32
234,32
235,32
236,32
237,32
238,76
239,32
240,32
241,32
242,32
243,32
244,32
245,32
246,32
247,32
248,32
249,32
250,32
251,32
252,56
253,37
254,6
255,4
256,6
257,65
258,4
259,4
260,6
261,4
262,4
263,4
264,8
265,4
266,4
267,4
268,6
269,4
270,4
271,4
272,4
273,4
274,4
275,22
276,65
277,4
278,4
279,11
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,34
295,80
296,32
297,32
298,32
299,32
300,32
301,32
302,32
303,32
304,32
305,32
306,32
307,32
308,32
309,32
310,32
311,32
312,32
313,43
314,32
315,32
316,32
317,32
318,32
319,32
320,32
321,32
322,32
323,32
324,32
325,32
326,32
327,32
328,35
329,23
330,4
331,4
332,54
333,4
334,4
335,4
336,4
337,4
338,4
339,4
340,4
341,4
342,4
343,4
344,4
345,4
346,4
347,4
348,4
349,4
350,4
351,62
352,4
353,4
354,4
355,4
356,4
357,4
358,4
359,4
360,4
361,4
362,4
363,4
364,4
365,4
366,4
367,4
368,4
369,4
370,62
371,32
372,32
373,32
374,32
375,32
376,32
377,32
378,32
379,32
380,32
381,32
382,32
383,32
384,32
385,31
386,32
387,32
388,31
389,77
390,32
391,32
392,32
393,32
394,32
395,32
396,36
397,32
398,32
399,32
400,58
401,32
402,48
403,35
404,26
405,4
406,4
407,42
408,65
409,4
410,4
411,6
412,4
413,4
414,4
415,4
416,4
417,4
418,4
419,4
420,4
421,4
422,4
423,4
424,4
425,4
426,62
427,32
428,32
429,32
430,33
431,32
432,32
433,32
434,31
435,32
436,32
437,32
438,32
439,32
440,32
441,32
442,32
443,32
444,30
445,77
446,32
447,32
448,31
449,31
450,32
451,32
452,37
453,32
454,32
455,32
456,32
457,32
458,32
459,32
460,32
461,32
462,32
463,45
464,77
465,32
466,32
467,32
468,32
469,32
470,32
471,32
472,32
473,32
474,32
475,35
476,24
477,24
478,4
479,4
480,4
481,4
482,39
483,6
484,4
485,4
486,8
487,4
488,4
489,4
490,4
491,4
492,4
493,4
494,4
495,4
496,4
497,14
498,4
499,4
500,4
501,65
502,4
503,4
504,4
505,4
506,4
507,4
508,6
509,4
510,4
511,4
512,4
513,4
514,4
515,4
516,4
517,4
518,4
519,11
520,65
521,4
522,4
523,4
524,4
525,4
526,4
527,4
528,4
529,4
530,4
531,4
532,4
533,4
534,4
535,4
536,4
537,4
538,15
539,65
540,4
541,4
542,6
543,4
544,4
545,4
546,4
547,4
548,4
549,4
550,6
551,4
552,4
553,6
554,4
555,4
556,4
557,38
558,32
559,32
560,32
561,42
562,32
563,32
564,32
565,32
566,32
567,32
568,32
569,32
570,32
571,32
572,32
573,32
574,32
575,32
576,76
577,32
578,32
579,32
580,31
581,32
582,32
583,32
584,32
585,32
586,32
587,32
588,32
589,32
590,32
591,32
592,32
593,32
594,32
595,65
596,4
597,4
598,35
599,26
600,4
601,4
602,4
603,4
604,4
605,4
606,4
607,4
608,4
609,4
610,4
611,4
612,4
613,34
614,4
615,4
616,4
617,4
618,4
619,4
620,4
621,4
622,4
623,4
624,6
625,4
626,4
627,4
628,4
629,4
630,4
631,4
632,65
633,32
634,32
635,32
636,32
637,32
638,32
639,32
640,32
641,32
642,32
643,32
644,32
645,32
646,32
647,32
648,32
649,32
650,32
651,77
652,32
653,32
654,32
655,32
656,32
657,32
658,32
659,32
660,32
661,32
662,35
663,32
664,32
665,32
666,35
667,32
668,32
669,51
670,31
671,32
672,32
673,32
674,32
675,32
676,32
677,34
678,4
679,4
680,4
681,4
682,4
683,4
684,4
685,4
686,4
687,4
688,54
689,4
690,4
691,4
692,4
693,4
694,4
695,4
696,4
697,4
698,4
699,4
700,4
701,4
702,4
703,4
704,4
705,4
706,4
707,65
708,32
709,32
710,32
711,31
712,32
713,32
714,32
715,32
716,32
717,32
718,35
719,32
720,32
721,32
722,32
723,32
724,32
725,36
726,78
727,32
728,32
729,32
730,32
731,32
732,32
733,32
734,32
735,32
736,32
737,32
738,32
739,32
740,32
741,32
742,32
743,32
744,76
745,32
746,32
747,32
748,50
749,35
750,29
751,38
752,4
753,4
754,4
755,4
756,4
757,4
758,4
759,4
760,4
761,4
762,19
763,65
764,4
765,4
766,4
767,4
768,4
769,4
770,4
771,4
772,4
773,4
774,4
775,65
776,65
777,65
778,65
779,65
780,66
