index,II
3,95
4,95
5,96
6,96
7,96
8,96
9,96
10,96
11,96
12,96
13,96
14,96
15,95
16,95
17,95
18,95
19,95
20,95
21,95
22,95
23,95
24,95
25,95
26,95
27,95
28,95
29,95
30,95
31,95
32,95
33,95
34,95
35,95
36,95
37,95
38,95
39,95
40,95
41,95
42,95
43,95
44,95
45,95
46,95
47,95
48,95
49,95
50,95
51,95
52,95
53,95
54,95
55,95
56,95
57,95
58,95
59,95
60,95
61,95
62,95
63,95
64,95
65,95
66,95
67,95
68,95
69,95
70,95
71,95
72,95
73,95
74,95
75,95
76,95
77,95
78,95
79,95
80,95
81,95
82,94
83,94
84,93
85,92
86,90
87,88
88,87
89,88
90,89
91,91
92,92
93,93
94,94
95,94
96,94
97,94
98,94
99,94
100,94
101,94
102,94
103,94
104,94
105,94
106,94
107,94
108,94
109,94
110,94
111,94
112,94
113,94
114,94
115,94
116,94
117,94
118,94
119,94
120,94
121,94
122,94
123,94
124,94
125,94
126,95
127,95
128,94
129,94
130,94
131,94
132,94
133,94
134,94
135,94
136,94
137,94
138,94
139,94
140,94
141,94
142,94
143,94
144,94
145,95
146,95
147,95
148,95
149,95
150,95
151,95
152,95
153,95
154,95
155,95
156,95
157,95
158,95
159,95
160,94
161,94
162,94
163,94
164,94
165,94
166,95
167,95
168,95
169,95
170,95
171,95
172,95
173,95
174,94
175,94
176,94
177,94
178,94
179,95
180,95
181,95
182,96
183,97
184,97
185,97
186,98
187,98
188,98
189,98
190,98
191,98
192,97
193,97
194,96
195,95
196,94
197,94
198,94
199,94
200,94
201,94
202,93
203,93
204,93
205,93
206,93
207,92
208,92
209,93
210,93
211,92
212,92
213,92
214,92
215,92
216,93
217,95
218,99
219,103
220,108
221,111
222,115
223,116
224,114
225,110
226,104
227,100
228,95
229,94
230,93
231,93
232,93
233,93
234,93
235,93
236,93
237,93
238,93
239,93
240,92
241,92
242,93
243,93
244,93
245,93
246,93
247,93
248,93
249,93
250,93
251,93
252,93
253,93
254,93
255,93
256,93
257,93
258,93
259,93
260,93
261,93
262,94
263,94
264,94
265,95
266,96
267,96
268,98
269,98
270,98
271,99
272,99
273,100
274,100
275,100
276,100
277,99
278,99
279,98
280,98
281,98
282,97
283,97
284,97
285,97
286,96
287,96
288,96
289,96
290,96
291,96
292,96
293,96
294,95
295,95
296,96
297,95
298,96
299,96
300,96
301,96
302,97
303,97
304,98
305,98
306,97
307,97
308,97
309,96
310,95
311,95
312,94
313,93
314,92
315,92
316,92
317,92
318,92
319,92
320,92
321,92
322,91
323,91
324,91
325,91
326,91
327,91
328,91
329,91
330,91
331,91
332,91
333,91
334,91
335,91
336,91
337,90
338,90
339,90
340,90
341,90
342,90
343,90
344,89
345,89
346,88
347,89
348,89
349,89
350,89
351,89
352,89
353,89
354,88
355,89
356,89
357,89
358,90
359,90
360,90
361,90
362,90
363,90
364,90
365,90
366,90
367,90
368,91
369,91
370,91
371,91
372,91
373,91
374,90
375,90
376,89
377,89
378,88
379,88
380,87
381,87
382,87
383,86
384,86
385,86
386,86
387,86
388,86
389,86
390,86
391,86
392,85
393,84
394,83
395,83
396,86
397,89
398,96
399,101
400,106
401,110
402,112
403,111
404,108
405,103
406,97
407,93
408,89
409,87
410,86
411,86
412,86
413,86
414,86
415,85
416,85
417,85
418,84
419,84
420,84
421,85
422,85
423,85
424,85
425,85
426,85
427,85
428,85
429,84
430,84
431,84
432,84
433,85
434,85
435,85
436,85
437,85
438,85
439,85
440,86
441,86
442,87
443,88
444,88
445,88
446,89
447,89
448,89
449,89
450,89
451,89
452,90
453,90
454,91
455,91
456,91
457,91
458,91
459,91
460,91
461,91
462,90
463,90
464,90
465,90
466,90
467,90
468,89
469,89
470,89
471,89
472,88
473,88
474,88
475,88
476,89
477,89
478,89
479,88
480,88
481,88
482,88
483,88
484,88
485,88
486,88
487,88
488,88
489,88
490,88
491,88
492,88
493,88
494,88
495,88
496,88
497,88
498,88
499,88
500,88
501,88
502,88
503,88
504,88
505,88
506,88
507,88
508,88
509,87
510,87
511,87
512,87
513,87
514,87
515,87
516,87
517,87
518,87
519,87
520,87
521,87
522,86
523,86
524,86
525,86
526,86
527,86
528,85
529,85
530,85
531,85
532,85
533,86
534,87
535,87
536,87
537,87
538,87
539,87
540,87
541,88
542,88
543,89
544,89
545,90
546,90
547,89
548,88
549,87
550,87
551,87
552,87
553,87
554,86
555,86
556,86
557,86
558,85
559,85
560,85
561,86
562,86
563,86
564,86
565,85
566,83
567,83
568,83
569,85
570,89
571,93
572,99
573,104
574,108
575,109
576,109
577,106
578,101
579,95
580,91
581,87
582,85
583,84
584,84
585,84
586,83
587,83
588,82
589,83
590,83
591,83
592,83
593,83
594,83
595,83
596,83
597,83
598,83
599,83
600,83
601,83
602,83
603,82
604,82
605,82
606,82
607,83
608,82
609,82
610,82
611,82
612,82
613,82
614,83
615,83
616,85
617,85
618,85
619,85
620,86
621,86
622,86
623,86
624,87
625,87
626,87
627,87
628,88
629,88
630,87
631,87
632,86
633,86
634,86
635,86
636,86
637,86
638,86
639,86
640,86
641,86
642,86
643,86
644,86
645,86
646,86
647,86
648,86
649,86
650,86
651,86
652,86
653,86
654,86
655,86
656,86
657,85
658,86
659,86
660,86
661,86
662,86
663,86
664,86
665,86
666,86
667,85
668,85
669,85
670,85
671,85
672,85
673,86
674,85
675,85
676,85
677,85
678,85
679,85
680,85
681,85
682,85
683,85
684,85
685,85
686,85
687,85
688,85
689,85
690,85
691,85
692,85
693,85
694,85
695,85
696,85
697,85
698,85
699,85
700,85
701,85
702,85
703,85
704,85
705,85
706,85
707,85
708,85
709,85
710,85
711,85
712,85
713,85
714,85
715,85
716,85
717,85
718,85
719,85
720,85
721,85
722,86
723,86
724,87
725,87
726,87
727,87
728,87
729,88
730,87
731,87
732,86
733,85
734,85
735,84
736,84
737,84
738,84
739,84
740,84
741,84
742,83
743,83
744,83
745,83
746,83
747,83
748,83
749,83
750,83
751,82
752,82
753,82
754,84
755,86
756,90
757,95
758,99
759,102
760,105
761,105
762,103
763,99
764,93
765,89
766,86
767,83
768,83
769,82
770,82
771,82
772,82
773,82
774,82
775,82
776,82
777,82
778,81
779,81
780,81
781,81
782,81
783,81
784,81
785,81
786,81
787,80
788,80
789,80
790,80
791,81
792,81
793,81
794,80
795,80
796,80
797,80
798,80
799,80
800,82
801,82
802,83
803,83
804,83
805,83
806,84
807,85
808,86
809,86
810,87
811,87
812,88
813,88
814,88
815,88
816,87
817,86
818,86
819,85
820,85
821,84
822,84
823,84
824,84
825,84
826,84
827,84
828,84
829,84
830,84
831,84
832,84
833,84
834,84
835,84
836,84
837,84
838,84
839,84
840,84
841,84
842,84
843,84
844,84
845,84
846,84
847,84
848,84
849,84
850,84
851,83
852,83
853,83
854,83
855,83
856,83
857,83
858,82
859,82
860,82
861,82
862,82
863,82
864,82
865,82
866,82
867,82
868,82
869,82
870,82
871,82
872,82
873,82
874,82
875,82
876,82
877,82
878,82
879,82
880,82
881,82
882,82
883,82
884,82
885,82
886,82
887,82
888,82
889,82
890,82
891,82
892,82
893,82
894,82
895,82
896,82
897,82
898,82
899,82
900,82
901,82
902,82
903,82
904,82
905,83
906,83
907,83
908,84
909,84
910,84
911,84
912,85
913,85
914,86
915,86
916,86
917,86
918,86
919,85
920,85
921,84
922,83
923,82
924,82
925,82
926,82
927,82
928,82
929,81
930,81
931,81
932,81
933,81
934,81
935,81
936,81
937,81
938,80
939,80
940,80
941,81
942,84
943,90
944,96
945,101
946,105
