index,II
668,39
669,39
670,41
671,42
672,45
673,45
674,48
675,48
676,48
677,49
678,50
679,50
680,50
681,51
682,51
683,53
684,54
685,55
686,55
687,54
688,54
689,54
690,54
691,55
692,55
693,55
694,55
695,55
696,55
697,55
698,55
699,55
700,55
701,55
702,55
703,55
704,55
705,55
706,55
707,54
708,54
709,54
710,53
711,53
712,52
713,52
714,51
715,51
716,51
717,51
718,51
719,51
720,52
721,52
722,51
723,51
724,51
725,50
726,49
727,49
728,49
729,48
730,48
731,49
732,49
733,48
734,48
735,48
736,48
737,48
738,48
739,48
740,48
741,48
742,48
743,48
744,48
745,48
746,49
747,50
748,51
749,51
750,51
751,52
752,52
753,53
754,53
755,54
756,55
757,54
758,54
759,52
760,52
761,51
762,51
763,51
764,51
765,50
766,50
767,49
768,49
769,48
770,47
771,46
772,46
773,46
774,46
775,47
776,47
777,46
778,46
779,46
780,44
781,45
782,44
783,42
784,40
785,39
786,41
787,43
788,53
789,65
790,80
791,83
792,93
793,89
794,89
795,90
796,79
797,69
798,63
799,59
800,59
801,59
802,59
803,57
804,55
805,49
806,48
807,47
808,47
809,47
810,47
811,46
812,46
813,46
814,46
815,46
816,46
817,46
818,46
819,45
820,45
821,45
822,45
823,45
824,45
825,46
826,46
827,44
828,45
829,45
830,45
831,44
832,44
833,43
834,42
835,42
836,41
837,40
838,39
839,38
840,37
841,36
842,35
843,33
844,32
845,29
846,28
847,26
848,23
849,20
850,19
851,17
852,15
853,14
854,13
855,11
856,10
857,10
858,10
859,10
860,11
861,13
862,14
863,15
864,17
865,19
866,21
867,21
868,25
869,26
870,27
871,30
872,31
873,33
874,34
875,36
876,37
877,39
878,41
879,42
880,44
881,45
882,45
883,45
884,44
885,45
886,46
887,46
888,46
889,47
890,47
891,47
892,47
893,47
894,47
895,47
896,47
897,49
898,49
899,49
900,49
901,49
902,49
903,49
904,50
905,50
906,50
907,50
908,50
909,50
910,50
911,50
912,50
913,50
914,50
915,50
916,49
917,49
918,48
919,48
920,48
921,48
922,47
923,46
924,46
925,46
926,46
927,46
928,46
929,46
930,46
931,46
932,47
933,46
934,45
935,45
936,45
937,45
938,45
939,45
940,45
941,45
942,45
943,45
944,44
945,44
946,44
947,44
948,44
949,45
950,44
951,44
952,44
953,43
954,43
955,43
956,43
957,44
958,44
959,45
960,45
961,45
962,45
963,46
964,45
965,47
966,47
967,47
968,47
969,47
970,46
971,46
972,46
973,45
974,44
975,43
976,43
977,42
978,42
979,42
980,42
981,42
982,42
983,42
984,42
985,41
986,41
987,40
988,39
989,37
990,37
991,38
992,44
993,53
994,53
995,71
996,77
997,86
998,92
999,88
1000,84
1001,69
1002,60
1003,58
1004,55
1005,55
1006,55
1007,54
1008,53
1009,51
1010,48
1011,45
1012,44
1013,43
1014,43
1015,42
1016,42
1017,41
1018,41
1019,41
1020,41
1021,41
1022,41
1023,42
1024,41
1025,41
1026,41
1027,41
1028,41
1029,41
1030,41
1031,41
1032,41
1033,40
1034,40
1035,39
1036,39
1037,37
1038,38
1039,38
1040,37
1041,36
1042,36
1043,35
1044,34
1045,34
1046,33
1047,32
1048,31
1049,29
1050,27
1051,26
1052,25
1053,24
1054,22
1055,19
1056,17
1057,15
1058,13
1059,11
1060,10
1061,9
1062,9
1063,8
1064,8
1065,7
1066,7
1067,9
1068,9
1069,9
1070,10
1071,10
1072,13
1073,16
1074,17
1075,18
1076,20
1077,22
1078,25
1079,26
1080,27
1081,29
1082,31
1083,32
1084,33
1085,34
1086,35
1087,37
1088,38
1089,38
1090,39
1091,39
1092,39
1093,39
1094,39
1095,39
1096,40
1097,40
1098,40
1099,40
1100,41
1101,41
1102,41
1103,42
1104,42
1105,42
1106,43
1107,43
1108,43
1109,44
1110,44
1111,43
1112,43
1113,43
1114,43
1115,43
1116,43
1117,43
1118,43
1119,43
1120,43
1121,43
1122,43
1123,42
1124,42
1125,41
1126,41
1127,41
1128,41
1129,41
1130,41
1131,40
1132,40
1133,40
1134,40
1135,40
1136,40
1137,40
1138,41
1139,41
1140,41
1141,41
1142,40
1143,40
1144,39
1145,39
1146,39
1147,39
1148,39
1149,39
1150,39
1151,39
1152,39
1153,39
1154,39
1155,39
1156,39
1157,41
1158,40
1159,41
1160,41
1161,42
1162,42
1163,42
1164,42
1165,43
1166,44
1167,44
1168,44
1169,44
1170,44
1171,44
1172,44
1173,43
1174,43
1175,42
1176,42
1177,42
1178,41
1179,41
1180,41
1181,41
1182,40
1183,38
1184,38
1185,37
1186,37
1187,37
1188,38
1189,38
1190,38
1191,38
1192,37
1193,37
1194,36
1195,36
1196,35
1197,35
1198,35
1199,35
1200,37
