index,II
0,145
1,145
2,124
3,76
4,99
5,99
6,99
7,99
8,99
9,98
10,98
11,99
12,99
13,94
14,89
15,89
16,89
17,110
18,110
19,110
20,110
21,109
22,109
23,109
24,109
25,109
26,109
27,109
28,109
29,109
30,109
31,109
32,106
33,92
34,89
35,89
36,89
37,86
38,98
39,97
40,97
41,99
42,99
43,99
44,99
45,99
46,99
47,99
48,99
49,101
50,107
51,112
52,113
53,113
54,113
55,124
56,148
57,145
58,146
59,146
60,146
61,146
62,146
63,146
64,146
65,146
66,146
67,146
68,164
69,164
70,165
71,165
72,171
73,171
74,172
75,175
76,176
77,177
78,177
79,177
80,177
81,177
82,177
83,177
84,177
85,177
86,177
87,177
88,177
89,177
90,175
91,174
92,172
93,172
94,175
95,175
96,175
97,175
98,175
99,175
100,175
101,175
102,175
103,175
104,175
105,175
106,175
107,175
108,175
109,175
110,175
111,173
112,171
113,171
114,174
115,174
116,175
117,175
118,175
119,175
120,175
121,175
122,174
123,175
124,175
125,171
126,170
127,160
128,164
129,163
130,156
131,157
132,156
133,139
134,171
135,175
136,175
137,175
138,175
139,175
140,175
141,175
142,175
143,175
144,175
145,175
146,175
147,176
148,176
149,176
150,182
151,160
152,158
153,168
154,169
155,173
156,173
157,173
158,174
159,173
160,173
161,173
162,176
163,176
164,175
165,175
166,175
167,175
168,212
169,203
170,169
171,175
172,177
173,177
174,173
175,173
176,173
177,173
178,173
179,173
180,173
181,174
182,174
183,173
184,173
185,173
186,173
187,169
188,167
189,166
190,149
191,149
192,150
193,152
194,158
195,164
196,165
197,176
198,174
199,173
200,174
201,173
202,173
203,174
204,174
205,173
206,173
207,164
208,164
209,173
210,173
211,170
212,170
213,170
214,170
215,173
216,173
217,173
218,172
219,172
220,172
221,172
222,172
223,173
224,174
225,174
226,174
227,174
228,172
229,172
230,173
231,173
232,173
233,173
234,173
235,172
236,172
237,172
238,172
239,172
240,172
241,172
242,172
243,173
244,173
245,173
246,173
247,172
248,172
249,172
250,173
251,173
252,173
253,173
254,168
255,166
256,162
257,161
258,173
259,162
260,162
261,167
262,169
263,173
264,173
265,179
266,173
267,173
268,173
269,172
270,172
271,173
272,174
273,174
274,174
275,174
276,174
277,174
278,174
279,174
280,173
281,173
282,173
283,173
284,167
285,169
286,172
287,172
288,172
289,172
290,172
291,172
292,172
293,172
294,172
295,172
296,172
297,172
298,173
299,172
300,172
301,172
302,167
303,177
304,175
305,173
306,172
307,172
308,172
309,172
310,171
311,172
312,172
313,173
314,172
315,172
316,167
317,162
318,161
319,160
320,161
321,162
322,165
323,169
324,174
325,173
326,173
327,173
328,173
329,173
330,173
331,173
332,173
333,173
334,173
335,173
336,173
337,174
338,174
339,174
340,174
341,172
342,172
343,172
344,172
345,172
346,172
347,172
348,171
349,171
350,171
351,171
352,171
353,171
354,172
355,172
356,172
357,172
358,172
359,172
360,163
361,171
362,172
363,172
364,172
365,172
366,172
367,172
368,172
369,172
370,172
371,173
372,172
373,172
374,170
375,166
376,162
377,172
378,162
379,160
380,159
381,172
382,173
383,173
384,173
385,173
386,172
387,172
388,172
389,172
390,172
391,172
392,172
393,173
394,173
395,173
396,173
397,174
398,173
399,173
400,172
401,172
402,172
403,171
404,172
405,171
406,171
407,172
408,172
409,172
410,172
411,172
412,172
413,172
414,172
415,171
416,169
417,171
418,171
419,171
420,171
421,171
422,172
423,172
424,172
425,172
426,171
427,171
428,172
429,172
430,172
431,172
