index,II
84,809
85,809
86,809
87,809
88,816
89,817
90,817
91,817
92,817
93,817
94,816
95,809
96,791
97,791
98,798
99,799
100,799
101,813
102,817
103,822
104,827
105,832
106,837
107,843
108,849
109,853
110,857
111,862
112,865
113,867
114,869
115,870
116,871
117,872
118,873
119,874
120,875
121,876
122,877
123,877
124,877
125,877
126,877
127,877
128,877
129,877
130,877
131,877
132,877
133,877
134,877
135,877
136,877
137,877
138,877
139,877
140,878
141,878
142,878
143,878
144,878
145,878
146,878
147,878
148,878
149,878
150,878
151,878
152,878
153,878
154,878
155,878
156,878
157,878
158,878
159,878
160,878
161,878
162,878
163,879
164,879
165,879
166,879
167,879
168,880
169,880
170,880
171,880
172,880
173,880
174,880
175,880
176,880
177,880
178,880
179,880
180,880
181,880
182,880
183,880
184,880
185,880
186,880
187,880
188,880
189,880
190,881
191,881
192,881
193,882
194,882
195,882
196,882
197,882
198,882
199,882
200,882
201,882
202,882
203,882
204,882
205,883
206,883
207,883
208,884
209,884
210,883
211,883
212,882
213,882
214,882
215,881
216,881
217,881
218,880
219,880
220,880
221,879
222,879
223,878
224,878
225,878
226,877
227,877
228,877
229,876
230,876
231,876
232,875
233,875
234,874
235,874
236,873
237,873
238,872
239,871
240,871
241,870
242,870
243,869
244,869
245,868
246,868
247,868
248,868
249,868
250,868
251,867
252,867
253,867
254,867
255,867
256,867
257,868
258,868
259,868
260,869
261,869
262,870
263,870
264,870
265,871
266,871
267,872
268,872
269,872
270,873
271,873
272,873
273,874
274,874
275,874
276,875
277,875
278,876
279,876
280,876
281,877
282,877
283,877
284,877
285,877
286,877
287,877
288,878
289,878
290,878
291,878
292,878
293,878
294,878
295,878
296,878
297,877
298,877
299,877
300,878
301,878
302,878
303,878
304,878
305,878
306,878
307,878
308,878
309,878
310,878
311,878
312,877
313,877
314,877
315,877
316,877
317,877
318,877
319,877
320,877
321,877
322,876
323,876
324,877
325,877
326,877
327,877
328,876
329,876
330,876
331,876
332,877
333,877
334,877
335,877
336,877
337,877
338,877
339,877
340,877
341,877
342,877
343,877
344,877
345,877
346,877
347,877
348,877
349,877
350,877
351,877
352,877
353,877
354,878
355,878
356,878
357,878
358,878
359,878
360,878
361,878
362,878
363,878
364,878
365,878
366,878
367,878
368,878
369,878
370,878
371,878
372,878
373,878
374,878
375,878
376,879
377,879
378,879
379,879
380,879
381,879
382,879
383,879
384,879
385,879
386,879
387,879
388,879
389,879
390,879
391,879
392,879
393,879
394,879
395,879
396,879
397,879
398,879
399,879
400,879
401,879
402,879
403,879
404,879
405,879
406,879
407,879
408,879
409,879
410,879
411,879
412,879
413,878
414,878
415,878
416,878
417,878
418,878
419,878
420,878
421,878
422,878
423,878
424,878
425,878
426,878
427,878
428,878
429,877
430,877
431,877
432,877
433,877
434,877
435,877
436,877
437,877
438,877
439,878
440,878
441,878
442,878
443,878
444,878
445,878
446,878
447,878
448,878
449,878
450,879
451,879
452,879
453,880
454,880
455,880
456,880
457,880
458,880
459,880
460,880
461,880
462,880
463,880
464,880
465,881
466,881
467,882
468,881
469,881
470,881
471,881
472,881
473,881
474,881
475,881
476,881
477,881
478,881
479,881
480,881
481,881
482,880
483,880
484,880
485,880
486,879
487,879
488,879
489,879
490,879
491,879
492,879
493,879
494,879
495,878
496,878
497,878
498,878
499,878
500,877
501,877
502,877
503,877
504,877
505,877
506,876
507,876
508,876
509,876
510,876
511,876
512,875
513,875
514,875
515,875
516,875
517,875
518,876
519,876
520,876
521,876
522,876
523,876
524,876
525,876
526,876
527,876
528,876
529,876
530,876
531,877
532,877
533,877
534,877
535,877
536,877
537,877
538,877
539,877
540,878
541,878
542,879
543,880
544,882
545,884
546,886
547,890
548,893
549,897
550,901
551,904
552,908
553,912
554,917
555,921
556,928
557,934
558,940
559,947
560,954
561,961
562,967
563,970
564,974
