index,II
382,89
383,89
384,89
385,89
386,89
387,89
388,88
389,88
390,88
391,88
392,88
393,88
394,89
395,89
396,89
397,89
398,89
399,89
400,89
401,89
402,89
403,91
404,91
405,92
406,92
407,92
408,92
409,92
410,92
411,92
412,92
413,91
414,91
415,90
416,91
417,92
418,92
419,92
420,93
421,93
422,94
423,94
424,94
425,94
426,101
427,102
428,103
429,108
430,109
431,112
432,113
433,108
434,113
435,112
436,112
437,107
438,105
439,98
440,97
441,95
442,92
443,92
444,92
445,92
446,92
447,92
448,93
449,93
450,93
451,93
452,93
453,93
454,92
455,92
456,92
457,92
458,92
459,91
460,91
461,91
462,92
463,92
464,89
465,85
466,83
467,83
468,106
469,143
470,189
471,81
472,81
473,92
474,76
475,67
476,67
477,66
478,131
479,110
480,73
481,86
482,86
483,73
484,84
485,85
486,85
487,85
488,84
489,84
490,83
491,83
492,83
493,83
494,83
495,84
496,84
497,90
498,93
499,95
500,103
501,106
502,110
503,114
504,121
505,125
506,131
507,138
508,140
509,143
510,148
511,148
512,148
513,148
514,145
515,137
516,134
517,132
518,130
519,123
520,120
521,114
522,107
523,99
524,98
525,94
526,92
527,90
528,90
529,89
530,90
531,86
532,88
533,88
534,88
535,88
536,88
537,88
538,88
539,87
540,87
541,87
542,88
543,88
544,88
545,88
546,88
547,90
548,90
549,90
550,90
551,90
552,90
553,90
554,90
555,90
556,91
557,91
558,91
559,92
560,92
561,93
562,93
563,94
564,97
565,99
566,100
567,102
568,107
569,109
570,112
571,113
572,113
573,113
574,112
575,110
576,105
577,105
578,100
579,97
580,96
581,94
582,93
583,91
584,91
585,91
586,91
587,91
588,90
589,90
590,90
591,90
592,90
593,90
594,91
595,91
596,91
597,92
598,92
599,92
600,92
601,93
602,93
603,93
604,93
605,91
606,91
607,91
608,93
609,91
610,91
611,91
612,92
613,92
614,92
615,92
616,92
617,92
618,92
619,92
620,95
621,95
622,93
623,93
624,93
625,93
626,93
627,93
628,93
629,95
630,95
