index,II
19,28
20,28
21,27
22,30
23,30
24,29
25,28
26,29
27,26
28,26
29,28
30,28
31,26
32,126
33,126
34,127
35,128
36,129
37,130
38,131
39,132
40,131
41,130
42,128
43,127
44,125
45,125
46,126
47,126
48,126
49,128
50,134
51,144
52,145
53,131
54,122
55,123
56,125
57,125
58,125
59,125
60,124
61,124
62,124
63,125
64,125
65,125
66,126
67,126
68,127
69,127
70,128
71,129
72,130
73,131
74,131
75,132
76,131
77,130
78,129
79,128
80,127
81,126
82,126
83,126
84,126
85,126
86,126
87,126
88,127
89,128
90,128
91,128
92,128
93,129
94,128
95,128
96,128
97,128
98,128
99,128
100,128
101,128
102,128
103,128
104,128
105,129
106,130
107,131
108,132
109,133
110,133
111,133
112,130
113,128
114,127
115,126
116,126
117,126
118,126
119,127
120,129
121,137
122,145
123,141
124,128
125,122
126,124
127,125
128,125
129,125
130,125
131,125
132,125
133,125
134,125
135,125
136,126
137,126
138,126
139,127
140,128
141,129
142,130
143,131
144,131
145,132
146,132
147,131
148,131
149,129
150,128
151,127
152,126
153,126
154,126
155,126
156,126
157,127
158,127
159,128
160,128
161,128
162,129
163,129
164,129
165,129
166,129
167,128
168,128
169,128
170,128
171,128
172,128
173,128
174,128
175,129
176,129
177,130
178,131
179,132
180,133
181,133
182,132
183,131
184,129
185,127
186,126
187,125
188,125
189,126
190,126
191,127
192,132
193,144
194,145
195,132
196,122
197,122
198,125
199,125
200,125
201,124
202,124
203,124
204,124
205,124
206,124
207,125
208,125
209,125
210,126
211,127
212,128
213,129
214,131
215,131
216,132
217,132
218,132
219,131
220,130
221,129
222,128
223,127
224,127
225,126
226,126
227,126
228,126
229,126
230,127
231,127
232,128
233,128
234,128
235,129
236,129
237,129
238,129
239,129
240,129
241,129
242,129
243,129
244,129
245,129
246,130
247,131
248,131
249,132
250,132
251,133
252,133
253,132
254,130
255,129
256,127
257,126
258,126
259,126
260,126
261,127
262,129
263,136
264,145
265,144
266,130
267,123
268,124
269,125
270,125
271,125
272,124
273,124
274,124
275,125
276,125
277,126
278,126
279,126
280,127
281,128
282,128
283,129
284,131
285,132
286,132
287,133
288,133
289,132
290,131
291,130
292,128
293,127
294,127
295,126
296,126
297,126
298,126
299,126
300,127
301,127
302,128
303,128
304,128
305,129
306,129
307,129
308,129
309,129
310,128
311,128
312,128
313,128
314,127
315,127
316,128
317,128
318,129
319,130
320,131
321,132
322,133
323,133
324,132
325,130
326,128
327,126
328,125
329,125
330,125
331,126
332,126
333,128
334,135
335,143
336,140
337,127
338,121
339,123
340,124
341,124
342,123
343,123
344,123
345,123
346,123
347,123
348,124
349,124
350,125
351,125
352,126
353,127
354,128
355,129
356,130
357,130
358,131
359,131
360,131
361,130
362,129
363,128
364,127
365,126
366,126
367,126
368,126
369,126
370,127
371,126
372,127
373,127
374,128
375,128
376,128
377,129
378,129
379,128
380,128
381,128
382,128
383,128
384,128
385,128
386,128
387,128
388,129
389,129
390,130
391,131
392,132
393,133
394,132
395,131
396,127
397,126
398,126
399,125
400,125
401,126
402,126
403,128
404,134
405,144
406,141
407,125
408,120
409,122
410,124
411,124
412,124
413,124
414,124
415,124
416,124
417,125
418,125
419,125
420,126
421,126
422,127
423,127
424,128
425,129
426,130
427,131
428,131
429,131
430,131
431,130
432,129
433,127
434,126
435,126
436,126
437,126
438,126
439,126
440,126
441,126
442,127
443,128
444,128
445,129
446,129
447,129
448,129
449,129
450,129
451,129
452,128
453,128
454,129
455,129
456,129
457,128
458,129
459,129
460,130
461,131
462,132
463,133
464,133
465,133
466,132
467,129
468,127
469,126
470,126
471,126
472,126
473,126
474,127
475,133
476,143
477,146
478,135
479,122
480,122
481,124
482,125
483,124
484,124
485,124
486,124
487,124
488,124
489,125
490,125
491,125
492,125
493,126
494,126
495,127
496,128
497,130
498,131
499,131
500,132
501,131
502,130
503,129
504,128
505,126
506,126
507,126
508,125
