Index,II
0,1.842246642246642
1,1.7703540903540904
2,1.731037851037851
3,1.842246642246642
4,1.922002442002442
5,1.847863247863248
6,1.823150183150183
7,1.9343589743589744
8,2.018608058608059
9,1.93997557997558
10,1.8984126984126983
11,2.002881562881563
12,2.0388278388278387
13,1.9242490842490845
14,1.8456166056166057
15,1.9085225885225885
16,1.9107692307692308
17,1.7624908424908423
18,1.693968253968254
19,1.7535042735042734
20,1.7602442002442005
21,1.6557753357753358
22,1.5838827838827838
23,1.667008547008547
24,1.7153113553113553
25,1.6063492063492064
26,1.5557997557997558
27,1.6456654456654456
28,1.6973382173382174
29,1.5906227106227109
30,1.5524297924297925
31,1.665885225885226
32,1.6950915750915752
33,1.6018559218559218
34,1.5591697191697191
35,1.6692551892551892
36,1.6973382173382174
37,1.6007326007326008
38,1.574896214896215
39,1.6681318681318682
40,1.6962148962148962
41,1.6074725274725274
42,1.5827594627594628
43,1.683858363858364
44,1.705201465201465
45,1.613089133089133
46,1.585006105006105
47,1.705201465201465
48,1.7287912087912087
49,1.6142124542124543
50,1.6029792429792429
51,1.704078144078144
52,1.72991452991453
53,1.6378021978021975
54,1.6175824175824176
55,1.7175579975579975
56,1.7546275946275949
57,1.647912087912088
58,1.6265689865689863
59,1.7512576312576311
60,1.7714774114774114
61,1.6535286935286937
62,1.6524053724053724
63,1.7478876678876678
64,1.7647374847374848
65,1.665885225885226
66,1.6434188034188033
67,1.757997557997558
68,1.7748473748473748
69,1.6613919413919414
70,1.6647619047619049
71,1.775970695970696
72,1.7692307692307692
73,1.6681318681318682
74,1.6546520146520147
75,1.768107448107448
76,1.784957264957265
77,1.658021978021978
78,1.659145299145299
79,1.7714774114774114
80,1.7872039072039072
81,1.6613919413919414
82,1.677118437118437
83,1.7984371184371184
84,1.7815873015873016
85,1.678241758241758
86,1.6737484737484738
87,1.7928205128205128
88,1.7916971916971918
89,1.675995115995116
90,1.677118437118437
91,1.7916971916971918
92,1.7973137973137974
93,1.675995115995116
94,1.6804884004884004
95,1.8063003663003665
96,1.7984371184371184
97,1.677118437118437
98,1.6984615384615385
99,1.804053724053724
100,1.7984371184371184
101,1.684981684981685
102,1.6917216117216116
103,1.804053724053724
104,1.7984371184371184
105,1.675995115995116
106,1.6917216117216116
107,1.820903540903541
108,1.7916971916971918
109,1.665885225885226
110,1.6894749694749696
111,1.8175335775335768
112,1.8051770451770448
113,1.6748717948717948
114,1.6984615384615385
115,1.82989010989011
116,1.800683760683761
117,1.6703785103785105
118,1.704078144078144
119,1.825396825396825
120,1.7916971916971918
121,1.6894749694749696
122,1.7085714285714286
123,1.822026862026862
124,1.8096703296703296
125,1.6905982905982906
126,1.722051282051282
127,1.827643467643468
128,1.8018070818070813
129,1.6793650793650794
130,1.710818070818071
131,1.8343833943833945
132,1.7905738705738703
133,1.6793650793650794
134,1.7332844932844933
135,1.832136752136752
136,1.7939438339438338
137,1.677118437118437
138,1.7366544566544566
139,1.8377533577533576
140,1.7995604395604397
141,1.6883516483516483
142,1.7231746031746031
143,1.8512332112332115
144,1.7995604395604397
145,1.6827350427350427
146,1.738901098901099
147,1.8467399267399267
148,1.8051770451770448
149,1.7063247863247863
150,1.7726007326007327
151,1.8984126984126983
152,1.871452991452992
153,1.783833943833944
154,1.8467399267399267
155,1.9467155067155064
156,1.8849328449328449
157,1.7692307692307692
158,1.825396825396825
159,1.9197557997558
160,1.842246642246642
161,1.705201465201465
162,1.7467643467643468
163,1.8523565323565323
164,1.7815873015873016
165,1.6726251526251523
166,1.72991452991453
167,1.825396825396825
168,1.7726007326007327
169,1.6748717948717948
170,1.74002442002442
171,1.8467399267399267
172,1.7422710622710622
173,1.6703785103785105
174,1.8613431013431008
175,2.276971916971917
176,2.702710622710623
177,3.016117216117216
178,3.196971916971917
179,2.995897435897436
180,2.451086691086691
181,1.947838827838828
182,1.822026862026862
183,1.831013431013431
184,1.722051282051282
185,1.6063492063492064
186,1.6524053724053724
187,1.7254212454212454
188,1.6501587301587302
189,1.558046398046398
190,1.6254456654456657
191,1.7063247863247863
192,1.6276923076923078
193,1.5423199023199023
194,1.6254456654456657
195,1.6984615384615385
196,1.6344322344322344
197,1.5557997557997558
198,1.638925518925519
199,1.713064713064713
200,1.64004884004884
201,1.574896214896215
202,1.6524053724053724
203,1.7231746031746031
204,1.638925518925519
205,1.586129426129426
206,1.675995115995116
207,1.7411477411477412
208,1.6411721611721612
209,1.5805128205128205
210,1.677118437118437
211,1.7523809523809524
212,1.6625152625152626
213,1.5996092796092796
214,1.6827350427350427
215,1.768107448107448
216,1.6872283272283273
217,1.6467887667887668
218,1.7456410256410255
219,1.8096703296703296
220,1.7175579975579975
221,1.6905982905982906
222,1.7905738705738703
223,1.8467399267399267
224,1.7894505494505497
225,1.757997557997558
226,1.883809523809524
227,1.948962148962149
228,1.8725763125763129
229,1.847863247863248
230,1.952332112332112
231,2.0107448107448107
232,1.9253724053724053
233,1.8927960927960927
234,1.968058608058608
235,1.966935286935287
236,1.8287667887667889
237,1.7523809523809524
238,1.804053724053724
239,1.7995604395604397
240,1.658021978021978
241,1.6108424908424908
242,1.6872283272283273
243,1.7063247863247863
244,1.5816361416361415
245,1.5423199023199023
246,1.638925518925519
247,1.667008547008547
248,1.558046398046398
249,1.5265934065934066
250,1.6490354090354091
251,1.6827350427350427
252,1.5692796092796093
253,1.5423199023199023
254,1.6512820512820512
255,1.683858363858364
256,1.5782661782661782
257,1.5636630036630037
258,1.656898656898657
259,1.6917216117216116
260,1.5782661782661782
261,1.5501831501831502
262,1.6737484737484738
263,1.6950915750915752
264,1.5793894993894997
265,1.568156288156288
266,1.678241758241758
267,1.7007081807081808
268,1.5917460317460317
269,1.586129426129426
270,1.7063247863247863
271,1.7254212454212454
272,1.6142124542124543
273,1.604102564102564
274,1.7153113553113553
275,1.738901098901099
276,1.632185592185592
277,1.615335775335775
278,1.713064713064713
279,1.7254212454212454
280,1.6231990231990232
281,1.6187057387057386
282,1.7344078144078143
283,1.7433943833943837
284,1.6265689865689863
285,1.636678876678877
286,1.7535042735042734
287,1.7546275946275949
288,1.6355555555555557
289,1.6378021978021975
290,1.768107448107448
291,1.7591208791208792
292,1.6422954822954825
293,1.6456654456654456
294,1.7613675213675213
295,1.7546275946275949
296,1.6445421245421246
297,1.6546520146520147
298,1.7647374847374848
299,1.7478876678876678
300,1.6411721611721612
301,1.6524053724053724
302,1.7714774114774114
303,1.7714774114774114
304,1.658021978021978
305,1.6692551892551892
306,1.7883272283272282
307,1.7737240537240535
308,1.6535286935286937
309,1.659145299145299
310,1.7804639804639804
311,1.7703540903540904
312,1.6512820512820512
313,1.656898656898657
314,1.7815873015873016
315,1.7804639804639804
316,1.6681318681318682
317,1.6950915750915752
318,1.8175335775335768
319,1.795067155067155
320,1.6816117216117217
321,1.6905982905982906
322,1.7905738705738703
323,1.768107448107448
324,1.6490354090354091
325,1.6703785103785105
326,1.7995604395604397
327,1.7782173382173383
328,1.6793650793650794
329,1.7085714285714286
330,1.8175335775335768
331,1.7872039072039072
332,1.6748717948717948
333,1.704078144078144
